episode-length-avg,qf1-std,return-max,return-min,StdProgress,episode-length-min,log-sigs-std,MaxProgress,log-sigs-mean,qf2-std,log-sigs-min,log-pi-mean,log-pi-min,episode-length-std,episodes,last-path-return,mean-sq-bellman-error1,policy-mus-mean,vf-avg,policy-mus-std,total-samples,time-train,time-total,mean-sq-bellman-error2,return-std,pool-size,AverageProgress,return-average,mean-qf-diff,epoch,episode-length-max,policy-mus-max,time-sample,max-path-return,log-pi-std,log-sigs-max,MinProgress,qf1-avg,time-eval,policy-mus-min,qf2-avg,vf-std,log-pi-max
1000.0,57.81,234.337463152,234.337463152,0.0,1000,0.100714,5.25514318415,-0.430952,57.81,-0.77317,-8.16735,-17.6498,0.0,19,116.19802326737933,31.9274,-0.0221862,370.992,1.06838,11000,10.26776905808947,252.22560444500414,25.7853,0.0,11000,5.25514318415,234.337463152,5.56164,10,1000,2.95086,1.6939136589353438,171.95564842200605,2.30645,-0.109564,5.25514318415,363.626,16.678619837999577,-2.97925,363.626,57.6916,-4.13409
1000.0,79.2376,208.501846432,208.501846432,0.0,1000,0.101322,3.65995312152,-0.462289,79.2376,-0.949578,-7.57014,-14.0257,0.0,20,217.85247160524435,45.0713,-0.065798,382.002,1.07841,12000,10.743586140219122,281.3910817115684,39.6649,0.0,12000,3.65995312152,208.501846432,6.01288,11,1000,3.29209,1.7589775033120532,217.85247160524435,2.03285,-0.185173,3.65995312152,374.91,16.691044639999745,-3.82481,374.91,77.27,-3.58972
1000.0,87.3529,41.194506695,41.194506695,0.0,1000,0.103919,1.88216548942,-0.508443,87.3529,-0.921084,-7.3071,-13.5303,0.0,21,62.46436297488536,41.574,-0.0931871,383.919,1.07405,13000,10.807020076550543,310.67335574817844,37.9169,0.0,13000,1.88216548942,41.194506695,7.20933,12,1000,2.82216,1.807470797066344,217.85247160524435,2.08374,-0.161728,1.88216548942,379.062,16.665837776992703,-3.19611,379.062,90.5528,-3.36362
110.0,101.365,30.7534668864,30.7534668864,0.0,110,0.115539,0.56293393161,-0.509606,101.365,-0.905335,-6.94387,-13.4115,0.0,27,28.571016214553577,38.34,-0.033151,385.529,1.03201,14000,12.391165830631508,326.921468927816,42.5811,0.0,14000,0.56293393161,30.7534668864,6.06345,13,110,3.50613,2.027018223016057,217.85247160524435,1.80967,-0.220098,0.56293393161,377.238,16.667260578018613,-2.82623,377.238,103.526,-3.10245
1000.0,115.639,255.469597876,255.469597876,0.0,1000,0.120994,4.64509817429,-0.496653,115.639,-0.914317,-7.36043,-20.8272,0.0,29,159.90286387928631,55.2025,-0.0860335,377.3,0.999086,15000,7.6838487040949985,352.7952965016302,46.1,0.0,15000,4.64509817429,255.469597876,7.64459,14,1000,2.6099,1.5193984017241746,217.85247160524435,2.27835,-0.14858,4.64509817429,370.679,1.8338212509988807,-2.73678,370.679,115.867,-2.93329
1000.0,128.812,117.078677524,117.078677524,0.0,1000,0.119713,1.67883437067,-0.519944,128.812,-0.881423,-7.23436,-13.6779,0.0,30,196.95620705879583,40.8569,0.0010987,373.324,0.943947,16000,9.752488028985681,380.9030747099023,45.3193,0.0,16000,1.67883437067,117.078677524,7.12951,15,1000,2.82902,1.6229478472960182,217.85247160524435,1.97174,-0.151941,1.67883437067,372.408,16.673123570973985,-2.83662,372.408,130.01,-3.3279
110.0,136.279,108.973828694,108.973828694,0.0,110,0.127774,2.35614748218,-0.518216,136.279,-0.961148,-7.1998,-13.7485,0.0,32,197.30721195408657,47.5293,0.0111079,359.695,0.938351,17000,9.193036769662285,393.4918121334049,41.6411,0.0,17000,2.35614748218,108.973828694,7.08048,16,110,3.18157,1.568163102841936,217.85247160524435,2.05632,-0.158881,2.35614748218,354.635,16.72930622700369,-2.68538,354.635,137.112,-3.10463
1000.0,144.096,315.643102516,315.643102516,0.0,1000,0.130972,5.62577473647,-0.54485,144.096,-1.06288,-7.14435,-13.6818,0.0,34,109.15170149810521,44.3768,-0.0155473,356.846,0.917686,18000,10.376383645401802,422.24770358449314,37.7011,0.0,18000,5.62577473647,315.643102516,6.1815,17,1000,2.94688,1.6688389937044121,217.85247160524435,2.13006,-0.206561,5.62577473647,353.149,1.8289976500091143,-3.14045,353.149,145.291,-1.81662
54.0,173.511,17.5151249453,17.5151249453,0.0,54,0.130207,0.821309297496,-0.568149,173.511,-1.00278,-6.70427,-13.5719,0.0,35,85.84506100523697,61.2617,0.122394,322.026,0.899664,19000,9.90961133534438,434.6878007942287,44.8242,0.0,19000,0.821309297496,17.5151249453,7.11546,18,54,4.35491,1.6323058283596765,217.85247160524435,2.05953,-0.223195,0.821309297496,312.782,16.71031576200039,-2.70877,312.782,174.268,-2.80853
1000.0,181.189,48.529400232,48.529400232,0.0,1000,0.134934,2.47707164894,-0.573204,181.189,-1.10475,-6.75803,-14.958,0.0,36,46.509729099989535,35.0719,-0.0792326,328.316,0.897926,20000,9.741486902436009,462.8760649651522,41.2129,0.0,20000,2.47707164894,48.529400232,7.00472,19,1000,2.78372,1.6683659834961873,217.85247160524435,2.19747,-0.198952,2.47707164894,324.534,0.899182972003473,-2.82858,324.534,183.092,-1.84122
