episodes,log-sigs-mean,episode-length-std,log-pi-max,FinalGoalDistanceMin,time-eval,return-min,qf1-std,FinalArmDistanceAvg,epoch,FinalGoalDistanceStd,policy-mus-std,vf-std,max-path-return,policy-mus-min,log-sigs-max,FinalArmDistanceStd,qf2-avg,time-train,last-path-return,log-sigs-std,FinalArmDistanceMin,time-sample,vf-avg,log-pi-mean,episode-length-avg,mean-qf-diff,mean-sq-bellman-error2,time-total,mean-sq-bellman-error1,FinalGoalDistanceMax,qf1-avg,return-max,FinalGoalDistanceAvg,return-std,qf2-std,log-pi-min,pool-size,policy-mus-mean,FinalArmDistanceMax,episode-length-max,policy-mus-max,total-samples,return-average,log-pi-std,episode-length-min,log-sigs-min
36,-0.139652,0.0,-2.41731,1.69527432298,5.037740684999335,-536.555489482,21.654,0.788047933888,10,0.0,0.0525934,21.2796,[-358.39800695],-0.161164,-0.0978014,0.0,-56.5149,4.262395759003994,[-777.91584765],0.0156486,0.788047933888,1.5573755349787461,-53.1741,-3.8,300.0,0.666379,0.672674,108.32568522497331,0.558286,1.69527432298,-56.5149,-536.555489482,1.69527432298,0.0,21.654,-8.4804,11000,-0.0291246,0.788047933888,300,0.127221,11000,-536.555489482,1.1963,300,-0.201216
40,-0.134267,0.0,-2.3978,1.59044571963,5.019190080000044,-501.06458217,24.0171,0.710144329996,11,0.0,0.0438614,23.7629,[-358.39800695],-0.158493,-0.0912792,0.0,-54.3212,3.8871053469947583,[-839.54275472],0.0144923,0.710144329996,1.3886895800105776,-51.2026,-3.84123,300.0,0.631906,0.383713,118.60644795698045,0.440524,1.59044571963,-54.3212,-501.06458217,1.59044571963,0.0,24.0171,-9.49663,12000,-0.0333603,0.710144329996,300,0.0967186,12000,-501.06458217,1.14702,300,-0.179889
43,-0.136595,0.0,-2.35723,1.96163501103,5.00476452500061,-613.809660335,22.7927,0.82277389539,12,0.0,0.0425734,22.594,[-358.39800695],-0.191975,-0.0960074,0.0,-55.694,4.136536474989953,[-744.58975179],0.014691,0.82277389539,1.4511882350007,-52.4102,-3.80281,300.0,0.563924,0.282866,129.23673752097238,0.390193,1.96163501103,-55.694,-613.809660335,1.96163501103,0.0,22.7927,-9.18718,13000,-0.0358784,0.82277389539,300,0.146036,13000,-613.809660335,1.26177,300,-0.178994
46,-0.142221,0.0,-2.3563,1.76067558643,5.047518235000098,-547.770930862,23.486,0.580937505436,13,0.0,0.0408367,23.2115,[-358.39800695],-0.198549,-0.10534,0.0,-57.4572,3.629511287022069,[-630.66661783],0.0136955,0.580937505436,1.225806514004944,-54.1891,-3.76188,300.0,0.458382,0.235492,139.0976259149993,0.258562,1.76067558643,-57.4572,-547.770930862,1.76067558643,0.0,23.486,-7.09067,14000,-0.044102,0.580937505436,300,0.113431,14000,-547.770930862,1.06295,300,-0.185006
50,-0.151184,0.0,-2.34092,1.52143443674,5.006952099000046,-477.351142895,21.8988,0.597188093053,14,0.0,0.0702832,21.4261,[-358.39800695],-0.267387,-0.0970089,0.0,-56.5295,3.651761815011014,[-720.5409292],0.0140492,0.597188093053,1.2340925260032236,-52.4008,-3.80876,300.0,0.54186,1.39469,149.06654720401184,1.34359,1.52143443674,-56.5295,-477.351142895,1.52143443674,0.0,21.8988,-8.09804,15000,-0.0575706,0.597188093053,300,0.10898,15000,-477.351142895,1.10915,300,-0.186861
53,-0.143407,0.0,-2.31191,1.59404823024,5.084753962999457,-506.03262742,22.2333,0.95562410886,15,0.0,0.0721821,21.8711,[-358.39800695],-0.281218,-0.0926255,0.0,-58.6716,4.1705792679968,[-823.5472567],0.0170884,0.95562410886,1.469975938999596,-55.1118,-3.84811,300.0,0.471935,0.644241,159.73353794500872,0.57647,1.59404823024,-58.6716,-506.03262742,1.59404823024,0.0,22.2333,-9.10802,16000,-0.0784155,0.95562410886,300,0.0663891,16000,-506.03262742,1.19092,300,-0.192975
56,-0.155552,0.0,-2.30116,1.44308159657,5.02518856900042,-464.981344835,21.5441,0.937049167552,16,0.0,0.0950494,21.5687,[-358.39800695],-0.423057,-0.101124,0.0,-55.5435,4.148480664000999,[-783.32152419],0.0212241,0.937049167552,1.4922732669874677,-52.5031,-3.89535,300.0,0.642425,0.670692,170.40844310599732,0.511368,1.44308159657,-55.5435,-464.981344835,1.44308159657,0.0,21.5441,-10.9002,17000,-0.102477,0.937049167552,300,0.0984179,17000,-464.981344835,1.4096,300,-0.210607
60,-0.145907,0.0,-2.31292,1.88154261715,5.034203082999738,-611.256297099,21.5463,1.33912293007,17,0.0,0.0794535,21.4284,[-358.39800695],-0.317656,-0.0983014,0.0,-55.3055,4.143370215005234,[-845.15774875],0.0151763,1.33912293007,1.4953648320179127,-52.9977,-3.8018,300.0,0.660779,0.575249,181.10339456901966,0.972465,1.88154261715,-55.3055,-611.256297099,1.88154261715,0.0,21.5463,-10.7643,18000,-0.106499,1.33912293007,300,0.109384,18000,-611.256297099,1.27453,300,-0.183179
63,-0.146928,0.0,-2.37795,1.3485330269,5.0697438290007995,-441.377412866,19.1817,0.877863093303,18,0.0,0.0782858,18.9321,[-358.39800695],-0.311901,-0.0961032,0.0,-56.6848,4.135724901008871,[-837.5937277],0.0191494,0.877863093303,1.5152448659964648,-53.8511,-3.99225,300.0,0.415125,6.92709,191.76696735102541,6.52268,1.3485330269,-56.6848,-441.377412866,1.3485330269,0.0,19.1817,-9.52002,19000,-0.0983813,0.877863093303,300,0.159213,19000,-441.377412866,1.35976,300,-0.19852
66,-0.157369,0.0,-2.28856,1.63385904223,5.002459159999489,-525.395245851,20.0436,1.06350475204,19,0.0,0.0913563,19.9281,[-358.39800695],-0.325805,-0.115528,0.0,-53.2638,4.197973865992026,[-738.0932285],0.0200724,1.06350475204,1.5040769639854261,-50.1355,-3.95768,300.0,0.459338,0.380519,202.47806112200124,0.447653,1.63385904223,-53.2638,-525.395245851,1.63385904223,0.0,20.0436,-8.55752,20000,-0.109455,1.06350475204,300,0.123817,20000,-525.395245851,1.32538,300,-0.228404
70,-0.162791,0.0,-2.25653,1.9957773544,5.007705698999416,-648.61216805,21.3609,1.47055356131,20,0.0,0.078663,21.3946,[-358.39800695],-0.261598,-0.105803,0.0,-53.9336,4.117589554011829,[-849.70012661],0.0200064,1.47055356131,1.4827001769908748,-51.0407,-3.6393,300.0,0.518151,0.873493,213.0771700650048,0.786166,1.9957773544,-53.9336,-648.61216805,1.9957773544,0.0,21.3609,-7.11253,21000,-0.100999,1.47055356131,300,0.117664,21000,-648.61216805,1.05206,300,-0.209928
73,-0.163151,0.0,-2.25706,1.56420276888,5.000765599999795,-512.504014118,22.6871,1.05828711842,21,0.0,0.0775152,22.9539,[-358.39800695],-0.310838,-0.105874,0.0,-52.5184,3.609150691998366,[-744.35173719],0.0222309,1.05828711842,1.223632708992227,-49.6496,-3.81462,300.0,0.353534,0.271068,222.91635228599353,0.352839,1.56420276888,-52.5184,-512.504014118,1.56420276888,0.0,22.6871,-8.5132,22000,-0.115707,1.05828711842,300,0.172346,22000,-512.504014118,1.23398,300,-0.223094
76,-0.158121,0.0,-2.29806,1.84738035439,5.022863658999995,-600.575124809,23.5185,1.23611013952,22,0.0,0.0845461,23.2899,[-356.38135093],-0.279417,-0.0955882,0.0,-54.9219,3.6447907369911263,[-356.38135093],0.0188462,1.23611013952,1.2393407800018394,-52.026,-3.72549,300.0,0.526562,0.713165,232.82184660098665,0.555421,1.84738035439,-54.9219,-600.575124809,1.84738035439,0.0,23.5185,-7.27564,23000,-0.111111,1.23611013952,300,0.166062,23000,-600.575124809,1.18146,300,-0.202841
80,-0.156116,0.0,-2.29696,1.60440606272,5.010821966000549,-525.070324772,23.3083,1.08005656406,23,0.0,0.0888552,23.1351,[-356.38135093],-0.315582,-0.111455,0.0,-52.8585,4.196255545993154,[-879.10610753],0.0212254,1.08005656406,1.4921035879970077,-50.2153,-3.7588,300.0,0.637144,0.394204,243.51885151997794,0.516526,1.60440606272,-52.8585,-525.070324772,1.60440606272,0.0,23.3083,-8.75371,24000,-0.102575,1.08005656406,300,0.271451,24000,-525.070324772,1.13509,300,-0.211809
83,-0.16306,0.0,-2.23937,1.46410015893,5.009390489999532,-479.116804192,24.9239,0.980910001983,24,0.0,0.0846474,24.9527,[-356.38135093],-0.262839,-0.10643,0.0,-51.2262,4.144280743001218,[-377.10367653],0.0227326,0.980910001983,1.495266983005422,-48.4421,-3.70596,300.0,0.534852,0.263879,254.1970943459828,0.289827,1.46410015893,-51.2262,-479.116804192,1.46410015893,0.0,24.9239,-7.8572,25000,-0.0961972,0.980910001983,300,0.269769,25000,-479.116804192,1.15983,300,-0.209017
86,-0.165145,0.0,-2.34276,1.62311572917,5.039843105999353,-522.047703706,29.2844,1.06562281454,25,0.0,0.0797094,29.1342,[-356.38135093],-0.264932,-0.117036,0.0,-51.043,4.168961451010546,[-679.20686434],0.0184669,1.06562281454,1.482595768997271,-48.5909,-3.9667,300.0,0.549842,0.281425,264.87714013399,0.335976,1.62311572917,-51.043,-522.047703706,1.62311572917,0.0,29.2844,-8.73658,26000,-0.0860895,1.06562281454,300,0.203359,26000,-522.047703706,1.30065,300,-0.210328
90,-0.16049,0.0,-2.34779,1.35848008795,5.039364442000078,-440.593999883,25.1264,0.944479300351,26,0.0,0.0766254,24.8544,[-356.38135093],-0.328777,-0.112692,0.0,-55.9966,4.106019075983568,[-761.34583381],0.0205809,0.944479300351,1.457194694014106,-53.7089,-3.70725,300.0,0.516684,0.436498,275.45533152399,0.415066,1.35848008795,-55.9966,-440.593999883,1.35848008795,0.0,25.1264,-7.18767,27000,-0.0872326,0.944479300351,300,0.166155,27000,-440.593999883,1.07016,300,-0.21116
93,-0.165863,0.0,-2.27467,1.57529452647,5.00105349200021,-508.130939407,24.5408,1.09090968497,27,0.0,0.0609429,24.5667,[-356.38135093],-0.251525,-0.11346,0.0,-53.9635,4.147908065007869,[-851.93756032],0.012801,1.09090968497,1.464650557013556,-51.1603,-3.85497,300.0,0.360468,0.24544,286.08326452501115,0.233502,1.57529452647,-53.9635,-508.130939407,1.57529452647,0.0,24.5408,-7.96136,28000,-0.0768625,1.09090968497,300,0.131699,28000,-508.130939407,1.28645,300,-0.204335
96,-0.164017,0.0,-2.25323,1.49607912594,5.0174957190001805,-480.675273989,30.5171,1.00739153749,28,0.0,0.0689332,30.8783,[-356.38135093],-0.236575,-0.119901,0.0,-47.5664,3.911227410977517,[-816.26168592],0.0188168,1.00739153749,1.368017968014101,-44.811,-3.88778,300.0,0.364396,0.61791,296.37447047800197,0.512472,1.49607912594,-47.5664,-480.675273989,1.49607912594,0.0,30.5171,-7.26313,29000,-0.0675206,1.00739153749,300,0.221626,29000,-480.675273989,1.18054,300,-0.207482
100,-0.166031,0.0,-2.31263,1.44080485156,5.014079006999964,-460.308325407,27.6145,0.954968244608,29,0.0,0.0591531,27.4118,[-356.38135093],-0.223293,-0.118674,0.0,-52.3486,3.630475497995576,[-796.48354685],0.0209953,0.954968244608,1.2325919039885775,-50.4591,-3.73336,300.0,0.345234,1.04519,306.2616180909845,1.31878,1.44080485156,-52.3486,-460.308325407,1.44080485156,0.0,27.6145,-9.71555,30000,-0.0652077,0.954968244608,300,0.204376,30000,-460.308325407,1.33639,300,-0.205406
103,-0.169486,0.0,-2.23058,0.595284304365,5.025314690999949,-309.834195643,23.8117,0.161901296463,30,0.0,0.0506308,23.8745,[-356.38135093],-0.229624,-0.116094,0.0,-55.5839,3.9457464629822425,[-725.72632662],0.018891,0.161901296463,1.4016991910029901,-53.3101,-3.74077,300.0,0.405604,0.222415,316.6606457129692,0.399355,0.595284304365,-55.5839,-309.834195643,0.595284304365,0.0,23.8117,-8.49153,31000,-0.0590829,0.161901296463,300,0.105635,31000,-309.834195643,1.23938,300,-0.215246
106,-0.167383,0.0,-2.30292,1.72601323915,5.055343160999655,-550.790853461,29.1212,1.22036620696,31,0.0,0.0559433,29.2602,[-356.38135093],-0.226899,-0.09708,0.0,-55.1328,4.18496166998375,[-817.42318468],0.0220952,1.22036620696,1.4714259160036818,-52.3613,-3.5829,300.0,0.419495,0.220859,327.3222721539569,0.280452,1.72601323915,-55.1328,-550.790853461,1.72601323915,0.0,29.1212,-7.5759,32000,-0.0565761,1.22036620696,300,0.147216,32000,-550.790853461,1.03495,300,-0.209293
110,-0.170984,0.0,-2.24315,1.34565318748,5.002000422000492,-429.513037395,31.0187,0.926204124446,32,0.0,0.0621899,30.6961,[-356.38135093],-0.220535,-0.11859,0.0,-55.8357,4.177253179998843,[-783.27339319],0.0264194,0.926204124446,1.5301449860044158,-52.9868,-3.81554,300.0,0.635507,0.935041,338.0520630359615,0.708068,1.34565318748,-55.8357,-429.513037395,1.34565318748,0.0,31.0187,-9.85059,33000,-0.049251,0.926204124446,300,0.192752,33000,-429.513037395,1.22993,300,-0.228353
113,-0.174104,0.0,-2.29197,1.75773713285,5.027747289000217,-554.103678338,30.4648,1.09514328661,33,0.0,0.0489586,30.2861,[-356.38135093],-0.174464,-0.113712,0.0,-51.8419,4.135738870989371,[-848.12247117],0.0231813,1.09514328661,1.4789210679819007,-49.5309,-3.559,300.0,0.339472,0.351295,348.6998855659331,0.261434,1.75773713285,-51.8419,-554.103678338,1.75773713285,0.0,30.4648,-7.67111,34000,-0.0478657,1.09514328661,300,0.100028,34000,-554.103678338,0.994696,300,-0.219017
116,-0.166394,0.0,-2.23704,1.82075518002,5.031302561999837,-576.065538678,28.696,1.22842682343,34,0.0,0.0532991,28.7171,[-356.38135093],-0.187627,-0.102358,0.0,-55.296,4.18855764800719,[-864.54228312],0.0224507,1.22842682343,1.514281598009802,-52.4243,-3.58245,300.0,0.43021,0.329126,359.40985934695345,0.411456,1.82075518002,-55.296,-576.065538678,1.82075518002,0.0,28.696,-7.50047,35000,-0.0421796,1.22842682343,300,0.157755,35000,-576.065538678,0.9555,300,-0.206591
120,-0.170485,0.0,-2.28583,0.635027739919,5.0192247690010845,-287.355642557,32.5902,0.117211875509,35,0.0,0.0527014,32.5187,[-356.38135093],-0.2102,-0.122895,0.0,-55.8738,4.1333185080056865,[-874.64475063],0.0279987,0.117211875509,1.4719013280518993,-53.3261,-3.70118,300.0,0.486088,0.53549,370.0430888190094,0.290676,0.635027739919,-55.8738,-287.355642557,0.635027739919,0.0,32.5902,-11.2221,36000,-0.0417351,0.117211875509,300,0.152102,36000,-287.355642557,1.28212,300,-0.224226
123,-0.171948,0.0,-2.26274,0.304411708398,5.018591803000163,-306.944454802,31.4847,0.11748162331,36,0.0,0.0553201,31.325,[-356.38135093],-0.23591,-0.109731,0.0,-53.3727,3.6082708430349157,[-747.22854652],0.0237655,0.11748162331,1.2295249220151163,-51.0541,-3.94722,300.0,0.33327,0.229688,379.8818982760604,0.241867,0.304411708398,-53.3727,-306.944454802,0.304411708398,0.0,31.4847,-9.77052,37000,-0.0357441,0.11748162331,300,0.178815,37000,-306.944454802,1.26338,300,-0.227743
126,-0.181785,0.0,-2.2557,0.29170368299,5.000357757999154,-303.300145033,38.5883,0.114626067921,37,0.0,0.0587189,38.7447,[-356.38135093],-0.230325,-0.110109,0.0,-49.4154,3.6259339939751953,[-819.22902997],0.0301291,0.114626067921,1.2332309169996734,-47.1597,-3.82778,300.0,0.385154,0.55373,389.7382242160347,0.522375,0.29170368299,-49.4154,-303.300145033,0.29170368299,0.0,38.5883,-8.99992,38000,-0.026565,0.114626067921,300,0.151061,38000,-303.300145033,1.24765,300,-0.245725
130,-0.180094,0.0,-2.2957,1.60141942846,5.002567962001194,-495.630039389,40.045,0.597302819113,38,0.0,0.0604159,40.4588,[-356.38135093],-0.244203,-0.0900473,0.0,-48.7193,4.125456635023511,[-860.79837594],0.0266846,0.597302819113,1.4751613679909497,-46.0432,-3.55952,300.0,0.436318,0.655995,400.35008708904934,0.830959,1.60141942846,-48.7193,-495.630039389,1.60141942846,0.0,40.045,-7.45168,39000,-0.033624,0.597302819113,300,0.139274,39000,-495.630039389,1.10203,300,-0.227934
133,-0.176951,0.0,-2.22421,1.7404258106,5.010331875000702,-542.085121158,33.9461,0.806776655065,39,0.0,0.0552746,34.0229,[-356.38135093],-0.220375,-0.093906,0.0,-56.5863,4.075734045038189,[-879.62473415],0.0308114,0.806776655065,1.4721770239648322,-54.1766,-3.70735,300.0,0.411608,0.220194,410.89694753605363,0.314046,1.7404258106,-56.5863,-542.085121158,1.7404258106,0.0,33.9461,-7.10304,40000,-0.0260645,0.806776655065,300,0.228166,40000,-542.085121158,1.15834,300,-0.243323
136,-0.186053,0.0,-2.27361,1.95178603099,5.000072093998824,-603.936280039,31.0385,1.08536387313,40,0.0,0.0620593,31.0886,[-356.38135093],-0.195745,-0.0982898,0.0,-59.4953,4.099924563030072,[-818.20242035],0.0343531,1.08536387313,1.4859978149688686,-57.056,-3.76351,300.0,0.31636,0.255082,421.49247217304946,0.24971,1.95178603099,-59.4953,-603.936280039,1.95178603099,0.0,31.0385,-9.10799,41000,-0.0171586,1.08536387313,300,0.26224,41000,-603.936280039,1.41684,300,-0.265976
140,-0.181737,0.0,-2.30281,1.57043785956,5.009655260999352,-487.279731635,36.5479,0.585613485842,41,0.0,0.0547699,36.4602,[-356.38135093],-0.209055,-0.110542,0.0,-52.6525,4.19054475698249,[-368.65936416],0.030184,0.585613485842,1.4945013030355767,-50.7144,-3.60173,300.0,0.357922,0.448273,432.18931940607035,0.389223,1.57043785956,-52.6525,-487.279731635,1.57043785956,0.0,36.5479,-8.56509,42000,-0.018736,0.585613485842,300,0.223382,42000,-487.279731635,1.11363,300,-0.244023
143,-0.186725,0.0,-2.26661,1.68004388642,5.010874988000069,-528.764800497,33.1978,1.02772709031,42,0.0,0.0567776,32.9445,[-356.38135093],-0.179922,-0.099413,0.0,-60.4855,3.9822431299871823,[-784.08907297],0.0347086,1.02772709031,1.4248744869910297,-58.354,-3.77554,300.0,0.373546,0.450556,442.6034111100489,0.465853,1.68004388642,-60.4855,-528.764800497,1.68004388642,0.0,33.1978,-8.84093,43000,-0.0147955,1.02772709031,300,0.213213,43000,-528.764800497,1.30717,300,-0.258584
146,-0.186524,0.0,-2.20262,1.89632882535,5.009789772000659,-594.261882374,29.7708,0.853053627236,43,0.0,0.053375,30.0363,[-356.38135093],-0.223271,-0.123939,0.0,-54.4139,4.010982697966028,[-605.91717023],0.0331774,0.853053627236,1.4232142639812082,-51.9178,-3.63752,300.0,0.347191,0.149823,453.0378394709969,0.268106,1.89632882535,-54.4139,-594.261882374,1.89632882535,0.0,29.7708,-9.06624,44000,-0.016526,0.853053627236,300,0.257065,44000,-594.261882374,1.12097,300,-0.242272
150,-0.185552,0.0,-2.17443,1.35185099893,5.000830650998978,-426.521274143,37.0647,0.547326662354,44,0.0,0.0587531,37.5428,[-356.38135093],-0.196395,-0.0983708,0.0,-57.8525,3.457905749004567,[-747.55870997],0.036815,0.547326662354,1.1720858330209012,-55.528,-3.74205,300.0,0.378217,0.336149,462.6757341240227,0.305539,1.35185099893,-57.8525,-426.521274143,1.35185099893,0.0,37.0647,-7.83999,45000,-0.0124182,0.547326662354,300,0.226978,45000,-426.521274143,1.23712,300,-0.262013
153,-0.198586,0.0,-2.19366,1.79641615463,5.010558390998995,-563.165583389,32.2734,1.21157184277,45,0.0,0.0496717,32.5046,[-356.38135093],-0.22206,-0.109513,0.0,-60.2715,3.706080607011245,[-788.99511681],0.0345079,1.21157184277,1.2576895339989278,-57.7873,-3.59102,300.0,0.482542,0.355812,472.6478831390323,0.392704,1.79641615463,-60.2715,-563.165583389,1.79641615463,0.0,32.2734,-8.1351,46000,-0.00889598,1.21157184277,300,0.23962,46000,-563.165583389,1.18116,300,-0.262683
156,-0.190794,0.0,-2.16539,1.4736299415,5.0119962230000965,-466.136566709,39.7744,1.27901163236,46,0.0,0.0606059,39.8321,[-356.38135093],-0.246092,-0.118283,0.0,-50.7896,4.9583877559962275,[-678.84428619],0.0379604,1.27901163236,1.8893745249679341,-48.7619,-3.65244,300.0,0.396233,0.294238,484.49653858799684,0.584549,1.4736299415,-50.7896,-466.136566709,1.4736299415,0.0,39.7744,-7.93261,47000,-0.00273246,1.27901163236,300,0.240911,47000,-466.136566709,1.1961,300,-0.265149
160,-0.197475,0.0,-2.19614,1.84335671405,5.000098593000075,-569.274471484,34.7724,0.60463545758,47,0.0,0.0576528,35.1003,[-356.38135093],-0.319682,-0.116772,0.0,-58.2334,4.220659807017,[-874.58558615],0.0357031,0.60463545758,1.4919078270013415,-55.6363,-3.68872,300.0,0.394485,0.398934,495.2573298150164,0.499782,1.84335671405,-58.2334,-569.274471484,1.84335671405,0.0,34.7724,-9.4504,48000,-0.00889169,0.60463545758,300,0.27577,48000,-569.274471484,1.33873,300,-0.267744
163,-0.182315,0.0,-2.21885,1.96431636835,5.050811421000617,-615.383853913,40.6599,1.19452288483,48,0.0,0.0693348,40.8877,[-356.38135093],-0.3765,-0.105678,0.0,-55.2107,4.7378072169758525,[-739.16744112],0.0333287,1.19452288483,1.7872859869858075,-53.5187,-3.48057,300.0,0.562216,0.424859,506.89447499297967,1.07893,1.96431636835,-55.2107,-615.383853913,1.96431636835,0.0,40.6599,-7.47643,49000,-0.0134341,1.19452288483,300,0.272194,49000,-615.383853913,1.04988,300,-0.254217
166,-0.187532,0.0,-2.22208,1.57012016834,5.1143642850001925,-501.434044658,42.5538,1.609963004,49,0.0,0.0699314,42.6682,[-356.38135093],-0.361252,-0.0904612,0.0,-57.3279,4.1373627219763875,[-818.62398775],0.0403749,1.609963004,1.4897591549652134,-55.3222,-3.52556,300.0,0.301567,0.306917,517.5217347799189,0.295498,1.57012016834,-57.3279,-501.434044658,1.57012016834,0.0,42.5538,-8.35702,50000,-0.00124381,1.609963004,300,0.318607,50000,-501.434044658,1.17188,300,-0.276782
