qf2-std,episodes,AverageForwardProgress,episode-length-avg,mean-sq-bellman-error2,episode-length-max,episode-length-min,return-min,return-average,MaxForwardProgress,qf2-avg,mean-sq-bellman-error1,pool-size,log-pi-max,policy-mus-min,last-path-return,StdForwardProgress,time-train,mean-qf-diff,vf-avg,qf1-std,log-pi-mean,qf1-avg,log-sigs-min,total-samples,policy-mus-mean,return-max,log-sigs-mean,log-sigs-max,log-sigs-std,time-total,time-sample,episode-length-std,log-pi-min,policy-mus-std,time-eval,vf-std,policy-mus-max,max-path-return,epoch,return-std,MinForwardProgress,log-pi-std
41.307,11,14.5555992095,1000.0,10.4209,1000,1000,1280.26188073,1280.26188073,14.5555992095,247.624,8.81412,11000,-3.30226,-2.37965,455.993051355,0.0,8.240594188033356,2.57304,259.168,41.307,-6.2175,247.624,-0.776036,11000,0.293476,1280.26188073,-0.373464,0.0181339,0.136903,276.7651631772151,1.5113776640064316,0.0,-11.8787,1.0326,16.6767212499999,39.4493,2.57534,455.993051355,10,0.0,14.5555992095,1.6832
51.3654,12,-5.39184937492,1000.0,23.5283,1000,1000,-723.559006313,-723.559006313,-5.39184937492,290.555,25.0524,12000,-3.39274,-3.5691,460.970764644,0.0,6.717988595008137,3.07965,301.436,51.3654,-6.39869,290.555,-0.804204,12000,0.576402,-723.559006313,-0.352911,0.0403741,0.132053,301.29264054520354,1.1401793409859238,0.0,-13.3642,0.923539,16.674629674000244,49.6051,2.80492,460.970764644,11,0.0,-5.39184937492,1.7241
49.3417,13,0.689398604698,1000.0,27.4836,1000,1000,-28.6175676547,-28.6175676547,0.689398604698,330.375,29.4144,13000,-3.63578,-2.92414,-379.239317745,0.0,8.145072727040315,3.38706,339.284,49.3417,-6.4267,330.375,-0.701046,13000,-0.0676947,-28.6175676547,-0.335557,0.0848265,0.134453,327.57379156725983,1.4609658290137304,0.0,-13.595,1.08768,16.67315587700068,46.5363,2.12943,460.970764644,12,0.0,0.689398604698,1.69121
43.7317,14,0.0913181085029,1000.0,16.712,1000,1000,-140.703193251,-140.703193251,0.0913181085029,358.0,19.1114,14000,-3.52231,-2.0979,-68.3177626987,0.0,8.277860682006576,3.4218,367.724,43.7317,-6.45185,358.0,-0.674497,14000,-0.33135,-140.703193251,-0.371814,-0.0452203,0.128457,354.00293276026787,1.4620173080002132,0.0,-15.2301,0.926362,16.678147865999563,43.2519,2.21537,460.970764644,13,0.0,0.0913181085029,1.96071
39.6135,15,0.398621632722,1000.0,20.6209,1000,1000,-76.1023023376,-76.1023023376,0.398621632722,375.386,26.1943,15000,-2.76888,-2.30876,-37.3309038715,0.0,6.679664554989358,3.5451,378.948,39.6135,-6.31455,375.386,-0.764995,15000,-0.403739,-76.1023023376,-0.38405,0.0359985,0.12458,378.48666290322035,1.1328851719626982,0.0,-17.0589,0.791015,16.686080998999387,39.0684,2.2097,460.970764644,14,0.0,0.398621632722,1.89747
52.0245,16,6.71561971298,1000.0,20.0291,1000,1000,534.848120725,534.848120725,6.71561971298,390.495,19.8866,16000,-2.9168,-2.03715,153.703743102,0.0,8.284238375988934,3.32984,396.476,52.0245,-6.40004,390.495,-0.739909,16000,-0.315448,534.848120725,-0.373483,-0.0537069,0.114341,404.91122520918907,1.4644207319797715,0.0,-11.8191,0.828192,16.674874488999194,51.8617,2.0658,460.970764644,15,0.0,6.71561971298,1.69878
51.4881,17,8.20491041089,1000.0,17.5347,1000,1000,696.616079991,696.616079991,8.20491041089,395.664,21.2895,17000,-3.46942,-2.52362,467.042823999,0.0,8.332627709980443,3.21818,400.765,51.4881,-6.13947,395.664,-0.764312,17000,-0.208145,696.616079991,-0.368069,0.00113174,0.119123,431.427269352198,1.487453298026594,0.0,-12.1345,0.880314,16.687253677000626,51.6731,1.91409,467.042823999,16,0.0,8.20491041089,1.59572
44.5487,18,-0.348156997299,1000.0,16.469,1000,1000,-147.506212942,-147.506212942,-0.348156997299,405.352,15.6987,18000,-3.33778,-2.5963,44.8974689198,0.0,6.705569593996188,3.30082,409.851,44.5487,-6.37446,405.352,-0.704334,18000,0.0724233,-147.506212942,-0.347362,-0.0568146,0.107633,455.942125003161,1.142486441967776,0.0,-14.4666,0.802018,16.683568265001668,44.5002,2.05706,467.042823999,17,0.0,-0.348156997299,1.71413
49.2294,19,4.91284077777,1000.0,12.8499,1000,1000,357.443439907,357.443439907,4.91284077777,404.758,13.3466,19000,-3.33093,-2.10438,335.633276268,0.0,8.331456716992761,3.05097,410.408,49.2294,-6.37696,404.758,-0.783648,19000,0.268053,357.443439907,-0.354992,-0.0705586,0.0988829,482.41948070114813,1.4777682759940944,0.0,-12.3419,0.728236,16.66743803600002,48.452,2.23532,467.042823999,18,0.0,4.91284077777,1.72668
50.8439,20,0.152991866605,1000.0,15.1141,1000,1000,-111.377447965,-111.377447965,0.152991866605,410.605,18.501,20000,-3.32249,-2.12039,488.623015859,0.0,8.581560839988015,3.74365,414.864,50.8439,-6.46059,410.605,-0.804061,20000,0.332409,-111.377447965,-0.360749,-0.0101926,0.113268,509.19812134311724,1.5226641229819506,0.0,-12.0771,0.721627,16.668213326000114,50.5899,2.00166,488.623015859,19,0.0,0.152991866605,1.76185
52.6479,21,4.86297364051,1000.0,7.62914,1000,1000,407.305075785,407.305075785,4.86297364051,420.665,10.2326,21000,-2.85151,-2.05007,447.726978576,0.0,6.710240311027519,3.22923,424.738,52.6479,-6.2932,420.665,-0.884949,21000,0.227719,407.305075785,-0.366781,-0.00690316,0.123633,533.7153585601554,1.134173398013445,0.0,-14.8961,0.708326,16.674954244999753,52.4636,1.82175,488.623015859,20,0.0,4.86297364051,1.82224
53.0442,22,7.21020503046,1000.0,12.8488,1000,1000,598.670180661,598.670180661,7.21020503046,413.365,14.8558,22000,-3.44679,-2.09629,330.513294288,0.0,8.21275454199349,3.2466,415.285,53.0442,-6.3739,413.365,-0.729923,22000,0.0578746,598.670180661,-0.346994,-0.0464811,0.101205,560.0588253371643,1.4667521820119873,0.0,-13.8348,0.72229,16.671297782000693,52.9387,2.13456,488.623015859,21,0.0,7.21020503046,1.7567
56.9667,23,7.2104552429,1000.0,14.1594,1000,1000,620.476479265,620.476479265,7.2104552429,415.529,17.1474,23000,-3.28014,-2.29409,651.353992293,0.0,8.47204508996765,3.1268,419.154,56.9667,-6.61664,415.529,-0.7348,23000,0.063025,620.476479265,-0.320765,-0.0601915,0.102063,586.7145065351779,1.509159695046037,0.0,-13.804,0.684953,16.664929982000103,56.7565,2.19974,651.353992293,22,0.0,7.2104552429,1.75016
71.0683,24,-0.189389125273,1000.0,12.3713,1000,1000,-117.373967106,-117.373967106,-0.189389125273,414.263,14.7503,24000,-3.53885,-2.10668,803.532065742,0.0,7.0697817560158,2.97646,419.155,71.0683,-6.33622,414.263,-0.777839,24000,0.100257,-117.373967106,-0.347516,-0.0642079,0.0958011,611.6517026951733,1.192985339979714,0.0,-11.9596,0.732563,16.678593632999764,70.1904,1.92329,803.532065742,23,0.0,-0.189389125273,1.58281
74.9406,25,3.7220480768,1000.0,16.0186,1000,1000,290.30440125,290.30440125,3.7220480768,410.946,16.8282,25000,-3.54278,-1.97538,108.198506458,0.0,8.240274356974624,3.19845,414.846,74.9406,-6.44585,410.946,-0.721059,25000,0.198261,290.30440125,-0.353449,-0.0668238,0.0966395,638.0279554101307,1.464152901980924,0.0,-13.713,0.698747,16.67423029299971,75.5828,1.86853,803.532065742,24,0.0,3.7220480768,1.8741
66.4464,26,7.79433078458,1000.0,13.8938,1000,1000,668.537805708,668.537805708,7.79433078458,407.164,15.6056,26000,-3.61992,-1.98405,316.881817739,0.0,8.316044531988155,3.01858,412.5,66.4464,-6.41896,407.164,-0.780479,26000,0.156045,668.537805708,-0.358837,-0.0389389,0.103285,664.458109608131,1.446031663008398,0.0,-18.7715,0.701102,16.67193153900007,65.7534,2.11886,803.532065742,25,0.0,7.79433078458,2.04733
71.8936,27,4.64509549278,1000.0,11.5266,1000,1000,359.440462883,359.440462883,4.64509549278,395.731,13.3064,27000,-3.38504,-2.12278,103.620775073,0.0,7.566626999010623,2.77162,399.245,71.8936,-6.49555,395.731,-0.817795,27000,0.0475691,359.440462883,-0.358437,-0.09443,0.0996613,689.9881780281194,1.2936866489762906,0.0,-14.6898,0.672624,16.67307553399951,73.0509,2.06337,803.532065742,26,0.0,4.64509549278,1.84576
77.6997,28,2.34453944884,1000.0,15.4899,1000,1000,130.867361175,130.867361175,2.34453944884,394.206,15.8629,28000,-3.19852,-2.47541,353.484198823,0.0,8.538976147969151,3.25817,398.135,77.6997,-6.42581,394.206,-0.743096,28000,0.037917,130.867361175,-0.364969,-0.0580862,0.103716,716.714082805096,1.5189081510052347,0.0,-14.5325,0.693563,16.66690046000076,77.6823,1.98,803.532065742,27,0.0,2.34453944884,1.70852
82.4149,29,0.532867617185,1000.0,13.6652,1000,1000,-63.2205421036,-63.2205421036,0.532867617185,389.809,11.2837,29000,-3.40311,-2.05882,523.234965902,0.0,8.303188068999589,2.99736,391.956,82.4149,-6.21876,389.809,-0.724663,29000,0.0394476,-63.2205421036,-0.364196,-0.0570568,0.102959,743.174019564085,1.4856609989856224,0.0,-13.8915,0.712359,16.672685160001492,82.7094,2.21812,803.532065742,28,0.0,0.532867617185,1.83351
83.9315,30,0.949892187961,1000.0,19.6678,1000,1000,-18.5803343836,-18.5803343836,0.949892187961,395.633,18.1761,30000,-3.28214,-2.11919,129.773387806,0.0,8.207256990970563,2.90338,398.667,83.9315,-6.43739,395.633,-0.753999,30000,0.14973,-18.5803343836,-0.370614,-0.100322,0.0993091,769.4875255800325,1.4373465559765464,0.0,-14.7539,0.721942,16.670660563000638,83.8151,2.35747,803.532065742,29,0.0,0.949892187961,1.93706
98.6166,31,2.66961212731,1000.0,19.3369,1000,1000,164.553548184,164.553548184,2.66961212731,393.712,18.7955,31000,-2.90981,-1.90561,53.6907000315,0.0,7.826124298020659,3.00924,398.405,98.6166,-6.34088,393.712,-0.771311,31000,0.105433,164.553548184,-0.372499,-0.0987559,0.099143,795.3441050180954,1.3651191370427114,0.0,-17.2811,0.727838,16.66836466099994,98.4996,2.18694,803.532065742,30,0.0,2.66961212731,1.95098
97.3965,32,5.68254699538,1000.0,10.436,1000,1000,448.711773095,448.711773095,5.68254699538,394.452,11.9015,32000,-3.38014,-2.04489,-30.7620248752,0.0,8.076438839023467,2.75361,397.241,97.3965,-6.18995,394.452,-0.757667,32000,0.039406,448.711773095,-0.380902,-0.132152,0.0986775,821.5244380780696,1.4234120899509435,0.0,-12.5918,0.726101,16.668625307000184,97.8902,1.94602,803.532065742,31,0.0,5.68254699538,1.71951
105.245,33,-0.405580833205,1000.0,15.5284,1000,1000,-115.221031617,-115.221031617,-0.405580833205,392.068,12.6925,33000,-3.35283,-2.01606,235.218977599,0.0,8.32057059401086,3.23852,395.496,105.245,-6.12646,392.068,-0.802894,33000,0.0948525,-115.221031617,-0.38006,-0.115596,0.10361,848.002780727049,1.4808501809729933,0.0,-11.9119,0.704548,16.685829809999632,105.445,1.94099,803.532065742,32,0.0,-0.405580833205,1.65031
101.847,34,2.97036496549,1000.0,17.0843,1000,1000,221.053096004,221.053096004,2.97036496549,388.196,19.1717,34000,-3.30704,-2.08028,224.033657654,0.0,7.2503726220238605,3.38955,391.315,101.847,-6.40596,388.196,-0.874125,34000,0.106075,221.053096004,-0.371533,-0.0602192,0.104742,873.1816008120823,1.26273816300818,0.0,-15.1676,0.682063,16.670450673000232,102.989,1.87225,803.532065742,33,0.0,2.97036496549,1.81854
108.576,35,5.71250404502,1000.0,15.879,1000,1000,484.190341908,484.190341908,5.71250404502,385.31,19.7263,35000,-3.08049,-2.06649,344.286420651,0.0,8.293545680993702,3.4002,388.407,108.576,-6.30177,385.31,-0.813922,35000,0.0848991,484.190341908,-0.364841,-0.104779,0.10285,899.5779960601067,1.4339420390260784,0.0,-16.8495,0.698012,16.668429448000097,108.276,2.02295,803.532065742,34,0.0,5.71250404502,1.90411
