pool-size,total-samples,return-average,AverageForwardProgress,MeanDistfromGoal,episode-length-min,epoch,qf1-std,mean-sq-bellman-error2,mean-qf-diff,qf1-avg,time-train,return-std,episodes,vf-std,last-path-return,MaxForwardProgress,qf2-std,time-eval,vf-avg,StdForwardProgress,episode-length-std,mean-sq-bellman-error1,qf2-avg,MinForwardProgress,time-sample,max-path-return,episode-length-avg,return-min,episode-length-max,time-total,return-max
17000,17000,-4895.53377249,-0.00336623915052,9.63752995774,1000,16,137.419,75.403,3.32144,-1351.28,25.741921377601102,0.0,17,135.537,-5292.8434557,-0.00336623915052,137.419,16.708062176126987,-1348.74,0.0,0.0,82.3996,-1351.28,-0.00336623915052,4.262132430914789,-4901.91438029,1000.0,-4895.53377249,1000,835.08563187439,-4895.53377249
18000,18000,-4702.07293192,-0.0434135874973,9.56331835025,1000,17,143.323,98.908,3.68098,-1381.54,29.07157500879839,0.0,18,141.851,-5091.52832987,-0.0434135874973,143.323,16.71894650394097,-1378.78,0.0,0.0,100.613,-1381.54,-0.0434135874973,5.444295644527301,-4901.91438029,1000.0,-4702.07293192,1000,886.4209878738038,-4702.07293192
19000,19000,-4971.49333556,-0.156875744574,9.70926527196,1000,18,138.602,61.6898,3.58697,-1447.93,25.75787025061436,0.0,19,136.831,-5158.06039158,-0.156875744574,138.602,16.812676436034963,-1450.64,0.0,0.0,63.7398,-1447.93,-0.156875744574,4.527212433284149,-4901.91438029,1000.0,-4971.49333556,1000,933.4288591912482,-4971.49333556
20000,20000,-4789.88677141,-0.22545335116,9.8441810336,1000,19,135.066,65.7234,3.46881,-1515.79,29.08277177112177,0.0,20,133.1,-5244.56555318,-0.22545335116,135.066,16.725604641949758,-1518.32,0.0,0.0,68.6452,-1515.79,-0.22545335116,5.505641010357067,-4901.91438029,1000.0,-4789.88677141,1000,984.7328522345051,-4789.88677141
21000,21000,-5159.55438511,-0.229543920263,9.62771557215,1000,20,147.774,79.3511,3.94688,-1555.74,24.633463136851788,0.0,21,146.676,-5056.12666279,-0.229543920263,147.774,16.735971079207957,-1555.18,0.0,0.0,72.4936,-1555.74,-0.229543920263,5.901366770034656,-4901.91438029,1000.0,-5159.55438511,1000,1031.9699402078986,-5159.55438511
22000,22000,-5364.42570949,-0.19752960233,9.63511370414,1000,21,144.617,76.2902,3.88447,-1594.51,27.924134284025058,0.0,22,143.156,-5193.45959715,-0.19752960233,144.617,16.689869394991547,-1591.75,0.0,0.0,70.7632,-1594.51,-0.19752960233,7.436557934852317,-4901.91438029,1000.0,-5364.42570949,1000,1084.057640536921,-5364.42570949
23000,23000,-5609.30649112,-0.15032757935,9.70128676708,1000,22,138.845,62.5462,4.36446,-1643.53,25.635876253945753,0.0,23,138.846,-5431.57353953,-0.15032757935,138.845,16.725985542871058,-1647.37,0.0,0.0,57.0639,-1643.53,-0.15032757935,6.253865315346047,-4901.91438029,1000.0,-5609.30649112,1000,1132.6608153192792,-5609.30649112
24000,24000,-5528.39454242,-0.123152489029,9.65901141626,1000,23,156.487,68.96,4.20662,-1670.44,27.77389986254275,0.0,24,155.306,-5502.61777951,-0.123152489029,156.487,16.72003762004897,-1675.12,0.0,0.0,60.1016,-1670.44,-0.123152489029,7.635194631526247,-4901.91438029,1000.0,-5528.39454242,1000,1184.769081479637,-5528.39454242
25000,25000,-5477.64521468,-0.0645949375494,9.6153106497,1000,24,149.024,78.5452,3.71517,-1723.83,26.203319675754756,0.0,25,148.142,-5403.41520321,-0.0645949375494,149.024,16.70317992893979,-1719.44,0.0,0.0,78.3661,-1723.83,-0.0645949375494,6.9014203594997525,-4901.91438029,1000.0,-5477.64521468,1000,1234.5866234900896,-5477.64521468
26000,26000,-5557.66189295,-0.143782754317,9.59805361553,1000,25,166.739,57.2733,4.08217,-1753.35,27.753920385381207,0.0,26,166.213,-5356.12097796,-0.143782754317,166.739,16.71069660014473,-1750.21,0.0,0.0,66.9324,-1753.35,-0.143782754317,7.646882040891796,-4901.91438029,1000.0,-5557.66189295,1000,1286.72881550272,-5557.66189295
27000,27000,-5523.5837306,-0.0646847874014,9.56083966465,1000,26,158.848,54.7794,4.31213,-1796.0,26.87237144378014,0.0,27,158.251,-5437.38788957,-0.0646847874014,158.848,16.739511572988704,-1791.11,0.0,0.0,49.2205,-1796.0,-0.0646847874014,7.0133452117443085,-4901.91438029,1000.0,-5523.5837306,1000,1337.2881632705685,-5523.5837306
28000,28000,-5393.32935679,-0.17138902678,9.64916798129,1000,27,166.986,51.0243,4.231,-1824.84,27.927027710014954,0.0,28,166.801,-5508.9394953,-0.17138902678,166.986,16.678646999876946,-1823.35,0.0,0.0,51.3382,-1824.84,-0.17138902678,7.584216088289395,-4901.91438029,1000.0,-5393.32935679,1000,1389.4998774866108,-5393.32935679
29000,29000,-5630.04982847,-0.082215046382,9.65387268163,1000,28,172.998,43.7187,3.84836,-1864.95,27.522283421829343,0.0,29,172.183,-5509.57364788,-0.082215046382,172.998,16.7025056660641,-1862.42,0.0,0.0,43.5214,-1864.95,-0.082215046382,7.127912714146078,-4901.91438029,1000.0,-5630.04982847,1000,1440.8644107796717,-5630.04982847
30000,30000,-5086.1730395,-0.0557154155108,9.49649624999,1000,29,179.331,52.1388,3.6019,-1887.22,27.63941340497695,0.0,30,179.409,-5493.92103533,-0.0557154155108,179.331,16.71230646688491,-1889.16,0.0,0.0,54.7213,-1887.22,-0.0557154155108,7.637878495967016,-4901.91438029,1000.0,-5086.1730395,1000,1492.854473755462,-5086.1730395
31000,31000,-5141.44556161,-0.0816397406162,9.58051113351,1000,30,175.087,42.5251,3.6615,-1936.3,27.864816513145342,0.0,31,176.116,-5378.87145457,-0.0816397406162,175.087,16.71959578199312,-1934.43,0.0,0.0,39.5906,-1936.3,-0.0816397406162,7.389448323752731,-4901.91438029,1000.0,-5141.44556161,1000,1544.8032373103779,-5141.44556161
32000,32000,-4879.98531398,0.0391753367279,9.62307360955,1000,31,183.356,72.212,3.44379,-1955.7,27.934962041676044,0.0,32,182.238,-4918.33005094,0.0391753367279,183.356,16.69512098096311,-1949.01,0.0,0.0,70.9208,-1955.7,0.0391753367279,7.3218166993465275,-4901.91438029,1000.0,-4879.98531398,1000,1596.7912819648627,-4879.98531398
33000,33000,-4814.95360642,-0.056723951036,9.62106642426,1000,32,203.82,41.3686,3.80536,-1953.27,27.540332585806027,0.0,33,204.542,-4564.19957346,-0.056723951036,203.82,16.728882706956938,-1950.25,0.0,0.0,36.4498,-1953.27,-0.056723951036,7.696532127680257,-4564.19957346,1000.0,-4814.95360642,1000,1648.6994176332373,-4814.95360642
