pool-size,total-samples,return-average,AverageForwardProgress,MeanDistfromGoal,episode-length-min,epoch,qf1-std,mean-sq-bellman-error2,mean-qf-diff,qf1-avg,time-train,return-std,episodes,vf-std,last-path-return,MaxForwardProgress,qf2-std,time-eval,vf-avg,StdForwardProgress,episode-length-std,mean-sq-bellman-error1,qf2-avg,MinForwardProgress,time-sample,max-path-return,episode-length-avg,return-min,episode-length-max,time-total,return-max
940000,940000,-4489.01119074,-0.146204781435,8.41701809319,1000,939,485.704,616.752,8.62063,-1654.45,26.457676059100777,0.0,945,487.405,-2801.95973868,-0.146204781435,485.704,16.92846980318427,-1657.57,0.0,0.0,635.754,-1654.45,-0.146204781435,7.300290607847273,-228.684498135,1000.0,-4489.01119074,1000,41843.95269789593,-4489.01119074
941000,941000,-2951.0829502,-0.139337841777,4.54383901122,1000,940,548.479,950.098,9.60156,-1592.94,20.869693942833692,0.0,946,549.852,-2596.85138046,-0.139337841777,548.479,17.06757106911391,-1590.2,0.0,0.0,1038.77,-1592.94,-0.139337841777,4.956869648303837,-228.684498135,1000.0,-2951.0829502,1000,41886.489532501204,-2951.0829502
942000,942000,-3156.5913998,-0.142452492982,4.2978211663,1000,941,513.766,1041.82,8.79942,-1630.22,22.599640582688153,0.0,947,513.961,-3171.75317925,-0.142452492982,513.766,16.72473547095433,-1614.49,0.0,0.0,1090.21,-1630.22,-0.142452492982,5.658487576059997,-228.684498135,1000.0,-3156.5913998,1000,41931.49575251783,-3156.5913998
943000,943000,-3248.14794702,-0.155272334143,4.42428413485,1000,942,484.187,181.554,7.85675,-1663.86,18.536076341290027,0.0,948,483.874,-3039.27586583,-0.155272334143,484.187,16.749623467214406,-1664.74,0.0,0.0,193.271,-1663.86,-0.155272334143,4.5818335365038365,-228.684498135,1000.0,-3248.14794702,1000,41971.29538906086,-3248.14794702
944000,944000,-2995.19155427,-0.155112827277,4.35549522701,1000,943,470.287,454.504,8.41565,-1618.58,23.283592380583286,0.0,949,466.776,-3185.01293182,-0.155112827277,470.287,16.69681200082414,-1626.98,0.0,0.0,445.137,-1618.58,-0.155112827277,5.939742857590318,-228.684498135,1000.0,-2995.19155427,1000,42017.236725941766,-2995.19155427
945000,945000,-2993.34267477,-0.165528434486,4.39094068449,1000,944,510.237,176.57,8.60621,-1639.08,19.6978514038492,0.0,950,506.812,-4427.70318481,-0.165528434486,510.237,16.72777871391736,-1641.41,0.0,0.0,197.862,-1639.08,-0.165528434486,4.448128303978592,-228.684498135,1000.0,-2993.34267477,1000,42058.06415336393,-2993.34267477
946000,946000,-2422.45390913,-0.0690920205669,1.49217994435,1000,945,465.64,265.652,8.23252,-1624.2,24.73392564523965,0.0,951,464.61,-3022.27054887,-0.0690920205669,465.64,16.687931115971878,-1621.2,0.0,0.0,303.12,-1624.2,-0.0690920205669,6.203947690548375,-228.684498135,1000.0,-2422.45390913,1000,42105.72441951744,-2422.45390913
947000,947000,-3498.36593014,-0.198161899019,7.29468699549,1000,946,462.803,320.005,8.62931,-1654.0,19.375037854304537,0.0,952,459.962,-4403.10681281,-0.198161899019,462.803,16.73841187194921,-1651.94,0.0,0.0,275.362,-1654.0,-0.198161899019,4.519800568930805,-228.684498135,1000.0,-3498.36593014,1000,42146.30861211778,-3498.36593014
948000,948000,-3284.82162752,-0.156221862336,4.37390397717,1000,947,464.095,617.772,8.94537,-1646.12,22.797111737541854,0.0,953,464.188,-3326.32266753,-0.156221862336,464.095,16.709022270981222,-1652.95,0.0,0.0,590.422,-1646.12,-0.156221862336,5.868390735704452,-228.684498135,1000.0,-3284.82162752,1000,42191.672647161875,-3284.82162752
949000,949000,-3079.12042654,-0.17267213926,4.39479643107,1000,948,506.782,346.367,8.15115,-1626.59,18.898876539431512,0.0,954,507.904,-2373.64890859,-0.17267213926,506.782,16.69653857499361,-1628.28,0.0,0.0,314.351,-1626.59,-0.17267213926,4.457579201553017,-228.684498135,1000.0,-3079.12042654,1000,42231.74752474157,-3079.12042654
950000,950000,-766.691006985,-0.100502689626,0.992218152936,858,949,524.674,708.315,8.89315,-1641.66,24.360401985701174,0.0,955,517.489,-3540.38872701,-0.100502689626,524.674,16.724888344062492,-1648.23,0.0,0.0,800.667,-1641.66,-0.100502689626,6.470701049780473,-228.684498135,858.0,-766.691006985,858,42276.8953012377,-766.691006985
951000,951000,-3268.9229799,-0.123752024144,4.42964701922,1000,950,533.94,1890.41,8.8435,-1639.69,22.223947973456234,0.0,956,533.627,-3407.55659287,-0.123752024144,533.94,14.323484949069098,-1640.68,0.0,0.0,1891.05,-1639.69,-0.123752024144,5.2005594067741185,-228.684498135,1000.0,-3268.9229799,1000,42321.00490274024,-3268.9229799
952000,952000,-4400.45474845,-0.146621098683,8.38409167048,1000,951,471.511,121.905,7.60313,-1649.34,26.372757218312472,0.0,957,470.017,-4439.91431325,-0.146621098683,471.511,16.699938429985195,-1648.25,0.0,0.0,102.851,-1649.34,-0.146621098683,6.713638674234971,-228.684498135,1000.0,-4400.45474845,1000,42370.8101470531,-4400.45474845
953000,953000,-3094.37929,-0.167380478171,4.36190887085,1000,952,487.374,300.77,9.13404,-1605.65,22.435770583571866,0.0,958,485.55,-2498.94261446,-0.167380478171,487.374,16.724315714091063,-1609.65,0.0,0.0,289.504,-1605.65,-0.167380478171,5.376150159398094,-228.684498135,1000.0,-3094.37929,1000,42415.348809756804,-3094.37929
954000,954000,-2474.10185111,-0.241811905865,2.00177598975,1000,953,489.913,151.326,8.41664,-1633.04,25.8881814382039,0.0,959,488.094,-3019.23862019,-0.241811905865,489.913,16.732270932057872,-1629.66,0.0,0.0,164.28,-1633.04,-0.241811905865,6.996599395526573,-228.684498135,1000.0,-2474.10185111,1000,42465.01763852453,-2474.10185111
955000,955000,-3063.67715423,-0.151621221736,4.3809980094,1000,954,475.294,757.897,8.23938,-1597.1,20.34446093114093,0.0,960,468.076,-3952.49905556,-0.151621221736,475.294,16.80705449404195,-1597.8,0.0,0.0,904.806,-1597.1,-0.151621221736,4.717978161294013,-228.684498135,1000.0,-3063.67715423,1000,42506.773304108065,-3063.67715423
956000,956000,-4346.06562047,-0.133585705424,8.42150402135,1000,955,498.578,354.614,8.83724,-1637.96,25.683276842581108,0.0,961,494.918,-1228.3825796,-0.133585705424,498.578,16.697914105141535,-1634.7,0.0,0.0,375.872,-1637.96,-0.133585705424,6.545394260203466,-228.684498135,1000.0,-4346.06562047,1000,42555.688174125506,-4346.06562047
957000,957000,-2587.65967304,0.103693885633,1.84479780782,1000,956,457.65,1001.11,8.58882,-1628.11,23.477503567235544,0.0,962,456.615,-3228.10808184,0.103693885633,457.65,16.691939240088686,-1631.35,0.0,0.0,943.965,-1628.11,0.103693885633,5.549896790413186,-228.684498135,1000.0,-2587.65967304,1000,42601.42598377541,-2587.65967304
958000,958000,-3030.67557992,-0.101726451876,2.1862690126,1000,957,512.852,237.84,8.06314,-1652.81,25.600774703314528,0.0,963,511.179,-3116.5623101,-0.101726451876,512.852,16.718996892217547,-1651.15,0.0,0.0,256.589,-1652.81,-0.101726451876,6.918188170762733,-228.684498135,1000.0,-3030.67557992,1000,42650.64751409367,-3030.67557992
959000,959000,-3248.99819153,-0.170188084932,5.67744117958,1000,958,492.956,225.43,8.54274,-1657.05,23.86949563678354,0.0,964,490.843,-2930.0813246,-0.170188084932,492.956,16.70964182005264,-1643.93,0.0,0.0,228.762,-1657.05,-0.170188084932,5.804815507726744,-228.684498135,1000.0,-3248.99819153,1000,42697.02382319025,-3248.99819153
960000,960000,-3851.65959465,0.0277215581322,8.08512138697,1000,959,475.889,322.015,8.47964,-1678.22,24.986932224361226,0.0,965,471.583,-3418.66880173,0.0277215581322,475.889,16.71286661294289,-1691.36,0.0,0.0,330.734,-1678.22,0.0277215581322,6.544255188899115,-228.684498135,1000.0,-3851.65959465,1000,42745.22963283677,-3851.65959465
961000,961000,-4309.29175477,0.027003698116,7.10685862068,1000,960,443.176,416.79,7.81564,-1681.51,24.58169028861448,0.0,966,443.217,-3743.50420275,0.027003698116,443.176,16.68224175600335,-1678.0,0.0,0.0,405.243,-1681.51,0.027003698116,6.457552682841197,-228.684498135,1000.0,-4309.29175477,1000,42792.96214452223,-4309.29175477
962000,962000,-2533.81028534,0.0404612782268,1.63342806213,1000,961,503.986,345.413,7.76651,-1628.65,25.1984766300302,0.0,967,501.596,-2899.10771466,0.0404612782268,503.986,16.703011608915403,-1629.09,0.0,0.0,337.216,-1628.65,0.0404612782268,6.453828207915649,-228.684498135,1000.0,-2533.81028534,1000,42841.30170805403,-2533.81028534
963000,963000,-3280.10040165,-0.109101077775,4.44877282677,1000,962,503.898,337.711,8.10678,-1607.53,23.567488331580535,0.0,968,499.049,-3213.8669043,-0.109101077775,503.898,16.697198076173663,-1611.1,0.0,0.0,301.182,-1607.53,-0.109101077775,6.055259745800868,-228.684498135,1000.0,-3280.10040165,1000,42887.62913831044,-3280.10040165
964000,964000,-4410.2562954,-0.130989560785,8.41403783811,1000,963,505.586,352.308,8.52655,-1685.92,23.827488044742495,0.0,969,500.942,-3015.35211833,-0.130989560785,505.586,16.7135800619144,-1688.98,0.0,0.0,359.658,-1685.92,-0.130989560785,6.163497082423419,-228.684498135,1000.0,-4410.2562954,1000,42934.30804480263,-4410.2562954
965000,965000,-4435.29963045,-0.13852747057,8.38963791223,1000,964,485.86,429.485,9.05517,-1623.0,24.408397901104763,0.0,970,483.77,-4440.48523028,-0.13852747057,485.86,16.688857998000458,-1623.3,0.0,0.0,436.442,-1623.0,-0.13852747057,6.414233852177858,-228.684498135,1000.0,-4435.29963045,1000,42981.807158159325,-4435.29963045
966000,966000,-3599.28516878,0.346778849365,5.68151689471,1000,965,431.274,254.962,8.27986,-1707.72,24.12452635471709,0.0,971,435.745,-3904.9866166,0.346778849365,431.274,16.685574680101126,-1700.23,0.0,0.0,252.708,-1707.72,0.346778849365,6.299567155074328,-228.684498135,1000.0,-3599.28516878,1000,43028.91395026422,-3599.28516878
967000,967000,-2496.61979869,-0.0443436188886,1.96455432201,1000,966,472.981,192.95,7.98711,-1644.17,23.748738649766892,0.0,972,476.045,-2140.54280753,-0.0443436188886,472.981,16.692833479959518,-1637.06,0.0,0.0,161.342,-1644.17,-0.0443436188886,6.101327573414892,-228.684498135,1000.0,-2496.61979869,1000,43075.44688457833,-2496.61979869
968000,968000,-3148.90329845,-0.190257410833,4.40135236492,1000,967,508.267,179.379,7.85413,-1571.22,22.477720722556114,0.0,973,508.415,-3274.25732017,-0.190257410833,508.267,16.692119738087058,-1569.79,0.0,0.0,177.206,-1571.22,-0.190257410833,5.670340995537117,-228.684498135,1000.0,-3148.90329845,1000,43120.32482958236,-3148.90329845
969000,969000,-2941.49386252,-0.0886786402216,4.33972833392,1000,968,443.567,342.262,7.94049,-1642.3,22.233852840727195,0.0,974,444.17,-2436.84304466,-0.0886786402216,443.567,16.744119097013026,-1644.63,0.0,0.0,331.805,-1642.3,-0.0886786402216,5.595063231419772,-228.684498135,1000.0,-2941.49386252,1000,43164.844131568214,-2941.49386252
970000,970000,-3156.77424112,-0.142349118594,4.3844438477,1000,969,480.106,208.257,7.87909,-1690.79,22.944441786268726,0.0,975,481.359,-4319.13008984,-0.142349118594,480.106,16.69541111495346,-1689.2,0.0,0.0,198.108,-1690.79,-0.142349118594,5.88244515331462,-228.684498135,1000.0,-3156.77424112,1000,43210.354169029975,-3156.77424112
971000,971000,-4463.47202606,-0.11909759883,8.46533336185,1000,970,478.469,255.691,9.10784,-1675.17,24.42268627253361,0.0,976,477.618,-3256.06192366,-0.11909759883,478.469,16.691986015066504,-1668.2,0.0,0.0,234.059,-1675.17,-0.11909759883,6.267748342594132,-228.684498135,1000.0,-4463.47202606,1000,43257.72753729299,-4463.47202606
972000,972000,-861.679158679,-0.145300053845,0.990336292579,899,971,466.763,281.18,8.35082,-1636.35,24.31812772806734,0.0,977,465.882,-2951.90468199,-0.145300053845,466.763,16.692037501139566,-1638.82,0.0,0.0,216.5,-1636.35,-0.145300053845,6.264841012656689,-228.684498135,899.0,-861.679158679,899,43303.311071423814,-861.679158679
973000,973000,-1386.62852799,-0.0950035507503,0.994600055776,991,972,469.154,156.528,8.46679,-1635.45,24.391120115527883,0.0,978,467.651,-3132.41847376,-0.0950035507503,469.154,15.01249141804874,-1637.35,0.0,0.0,125.803,-1635.45,-0.0950035507503,6.30059548211284,-228.684498135,991.0,-1386.62852799,991,43350.603262367425,-1386.62852799
974000,974000,-2945.33371192,-0.140417496519,4.45003070175,1000,973,504.11,482.742,8.13349,-1600.09,23.864731543930247,0.0,979,504.268,-2696.43463554,-0.140417496519,504.11,16.607676074141636,-1576.35,0.0,0.0,450.262,-1600.09,-0.140417496519,6.025720375357196,-228.684498135,1000.0,-2945.33371192,1000,43397.18233668222,-2945.33371192
975000,975000,-3299.84930443,-0.0281720529676,5.68009886393,1000,974,439.894,1249.93,8.62037,-1668.0,24.7004363455344,0.0,980,437.929,-3282.73642191,-0.0281720529676,439.894,16.693120314041153,-1670.06,0.0,0.0,1239.69,-1668.0,-0.0281720529676,6.504722382174805,-228.684498135,1000.0,-3299.84930443,1000,43445.06304573268,-3299.84930443
976000,976000,-4419.978882,-0.118107875002,8.47994109665,1000,975,465.717,154.108,7.59533,-1696.77,24.885605414630845,0.0,981,460.519,-3352.66995562,-0.118107875002,465.717,16.687315363204107,-1698.59,0.0,0.0,153.788,-1696.77,-0.118107875002,6.312079208670184,-228.684498135,1000.0,-4419.978882,1000,43492.939781538444,-4419.978882
977000,977000,-4003.14813918,-0.31554221921,6.00745213308,1000,976,468.857,382.617,8.30102,-1607.76,25.811885263305157,0.0,982,462.976,-3526.33973952,-0.31554221921,468.857,16.6903520738706,-1617.82,0.0,0.0,339.862,-1607.76,-0.31554221921,6.776446514762938,-228.684498135,1000.0,-4003.14813918,1000,43542.22762553301,-4003.14813918
978000,978000,-2760.14075617,-0.146280068469,3.21350163356,1000,977,500.972,1034.87,9.29962,-1575.34,23.649445437127724,0.0,983,499.115,-3097.16805821,-0.146280068469,500.972,16.717843970982358,-1578.95,0.0,0.0,1036.1,-1575.34,-0.146280068469,5.867341167293489,-228.684498135,1000.0,-2760.14075617,1000,43588.43012351985,-2760.14075617
979000,979000,-2228.36274318,-0.105690559308,1.63178870987,1000,978,514.37,288.642,8.03581,-1610.72,25.40753373550251,0.0,984,509.412,-4375.24870254,-0.105690559308,514.37,16.688362138113007,-1623.92,0.0,0.0,311.353,-1610.72,-0.105690559308,6.502301905071363,-228.684498135,1000.0,-2228.36274318,1000,43637.0153615966,-2228.36274318
980000,980000,-3179.64047612,-0.197931484251,4.38655696699,1000,979,477.852,124.61,8.41001,-1677.4,24.357439732644707,0.0,985,476.805,-2485.22211966,-0.197931484251,477.852,16.685566182946786,-1676.52,0.0,0.0,116.018,-1677.4,-0.197931484251,5.98983239941299,-228.684498135,1000.0,-3179.64047612,1000,43684.04618888628,-3179.64047612
981000,981000,-2563.32235457,-0.274312915693,1.7354757739,1000,980,516.998,255.003,8.11501,-1654.9,26.437815685290843,0.0,986,508.998,-3306.5441227,-0.274312915693,516.998,16.69594287010841,-1648.35,0.0,0.0,339.414,-1654.9,-0.274312915693,7.095471532549709,-228.684498135,1000.0,-2563.32235457,1000,43734.25561450911,-2563.32235457
982000,982000,-2892.9670741,-0.15444186274,4.41784139012,1000,981,514.283,204.599,8.64072,-1663.8,21.445011366624385,0.0,987,514.078,-3356.49255608,-0.15444186274,514.283,16.68277279799804,-1663.21,0.0,0.0,213.901,-1663.8,-0.15444186274,4.901963168988004,-228.684498135,1000.0,-2892.9670741,1000,43777.272271016845,-2892.9670741
983000,983000,-3386.98022574,0.0310068165284,5.69660885886,1000,982,488.563,339.679,8.1302,-1670.18,25.507737786043435,0.0,988,481.921,-3129.00100217,0.0310068165284,488.563,16.682189160957932,-1679.44,0.0,0.0,326.957,-1670.18,0.0310068165284,6.728676718659699,-228.684498135,1000.0,-3386.98022574,1000,43826.19336830033,-3386.98022574
984000,984000,-4431.11765691,-0.0909473145178,8.41504897943,1000,983,508.049,286.145,9.52704,-1659.75,22.86433126940392,0.0,989,506.786,-2134.20846166,-0.0909473145178,508.049,16.687666590092704,-1644.59,0.0,0.0,323.692,-1659.75,-0.0909473145178,5.1524529117159545,-228.684498135,1000.0,-4431.11765691,1000,43870.89498090278,-4431.11765691
985000,985000,-4366.81544096,-0.152064394271,8.47067570604,1000,984,498.95,199.368,8.5781,-1614.47,26.60885487892665,0.0,990,500.443,-3275.21799766,-0.152064394271,498.95,16.691823040135205,-1612.44,0.0,0.0,174.648,-1614.47,-0.152064394271,7.113035812508315,-228.684498135,1000.0,-4366.81544096,1000,43921.30211783759,-4366.81544096
986000,986000,-2372.0995237,-0.261160815306,1.81140611154,1000,985,537.607,124.663,8.87399,-1616.42,24.16601854027249,0.0,991,538.938,-4410.95855375,-0.261160815306,537.607,16.692564093042165,-1617.91,0.0,0.0,112.841,-1616.42,-0.261160815306,5.767360060242936,-228.684498135,1000.0,-2372.0995237,1000,43967.91706488212,-2372.0995237
987000,987000,-3343.82539974,0.0501751038805,5.61714372575,1000,986,501.171,407.476,9.1064,-1586.06,25.503090920159593,0.0,992,501.549,-2447.36758226,0.0501751038805,501.171,16.693229673895985,-1581.76,0.0,0.0,395.943,-1586.06,0.0501751038805,6.671750758541748,-228.684498135,1000.0,-3343.82539974,1000,44016.78079336183,-3343.82539974
988000,988000,-2945.60461809,-0.140553796311,4.56365351252,1000,987,508.981,222.873,7.847,-1639.18,24.123087144922465,0.0,993,503.997,-2943.542534,-0.140553796311,508.981,16.69137825910002,-1647.57,0.0,0.0,302.395,-1639.18,-0.140553796311,6.054940290283412,-228.684498135,1000.0,-2945.60461809,1000,44063.64224261232,-2945.60461809
989000,989000,-3635.73543283,0.266126764358,5.62568570058,1000,988,487.826,1368.29,8.66738,-1618.67,26.4415407537017,0.0,994,486.231,-2760.58867375,0.266126764358,487.826,16.695177854970098,-1610.17,0.0,0.0,1385.0,-1618.67,0.266126764358,6.943104451755062,-228.684498135,1000.0,-3635.73543283,1000,44113.713841409655,-3635.73543283
990000,990000,-2896.95005739,-0.212101229834,4.35949378265,1000,989,476.149,162.585,8.84694,-1609.44,25.43189986795187,0.0,995,474.583,-2916.06527442,-0.212101229834,476.149,16.69080968387425,-1609.04,0.0,0.0,150.853,-1609.44,-0.212101229834,6.50422035320662,-228.684498135,1000.0,-2896.95005739,1000,44162.333972485736,-2896.95005739
991000,991000,-2760.06539156,0.0249934399987,3.57979395986,1000,990,457.776,138.719,8.71349,-1678.52,25.501004096120596,0.0,996,457.066,-2600.60111934,0.0249934399987,457.776,16.696522298967466,-1684.5,0.0,0.0,122.123,-1678.52,0.0249934399987,6.651835235999897,-228.684498135,1000.0,-2760.06539156,1000,44211.18436515913,-2760.06539156
992000,992000,-2540.94813216,0.0406374128106,1.45991086355,1000,991,485.427,520.864,8.678,-1675.39,25.112719505326822,0.0,997,485.743,-4415.26839554,0.0406374128106,485.427,16.701170922024176,-1671.1,0.0,0.0,487.806,-1675.39,0.0406374128106,6.5952987261116505,-228.684498135,1000.0,-2540.94813216,1000,44259.569080758374,-2540.94813216
993000,993000,-2956.59967462,-0.187155287993,4.35804125975,1000,992,513.85,167.974,8.75471,-1645.15,26.157125745201483,0.0,998,513.521,-2131.87707048,-0.187155287993,513.85,16.68800651212223,-1643.69,0.0,0.0,198.626,-1645.15,-0.187155287993,6.929414670681581,-228.684498135,1000.0,-2956.59967462,1000,44309.34211896849,-2956.59967462
994000,994000,-4433.30890342,-0.168529507333,8.49567233578,1000,993,470.313,138.448,8.35341,-1619.31,26.689045301638544,0.0,999,466.01,-3712.36482001,-0.168529507333,470.313,16.695887316018343,-1629.75,0.0,0.0,121.863,-1619.31,-0.168529507333,7.058242491679266,-228.684498135,1000.0,-4433.30890342,1000,44359.76531072566,-4433.30890342
995000,995000,-4402.22752827,-0.114145015693,8.41344085268,1000,994,505.401,258.03,8.3597,-1638.13,24.708525482099503,0.0,1000,505.498,-3572.87754119,-0.114145015693,505.401,16.6910181150306,-1635.54,0.0,0.0,230.738,-1638.13,-0.114145015693,6.137358283391222,-228.684498135,1000.0,-4402.22752827,1000,44407.30001039151,-4402.22752827
996000,996000,-3278.11612964,-0.112628120448,4.48095621251,1000,995,485.562,253.444,8.40346,-1638.0,25.67547708004713,0.0,1001,482.983,-4429.18632732,-0.112628120448,485.562,16.693139301845804,-1642.81,0.0,0.0,278.728,-1638.0,-0.112628120448,6.789151187753305,-228.684498135,1000.0,-3278.11612964,1000,44456.44138864218,-3278.11612964
997000,997000,-4478.42976171,-0.147216447712,8.5060089565,1000,996,476.333,306.54,8.41076,-1671.35,25.25306489272043,0.0,1002,478.32,-2955.60097891,-0.147216447712,476.333,16.6878269740846,-1665.02,0.0,0.0,289.178,-1671.35,-0.147216447712,6.217885860009119,-228.684498135,1000.0,-4478.42976171,1000,44504.596244007815,-4478.42976171
998000,998000,-1059.72693741,-0.104751339299,0.98938137739,959,997,513.621,210.858,9.04285,-1641.57,26.755584517726675,0.0,1003,513.211,-2742.8574522,-0.104751339299,513.621,16.69123274507001,-1636.43,0.0,0.0,162.852,-1641.57,-0.104751339299,6.930459726601839,-228.684498135,959.0,-1059.72693741,959,44554.28010813007,-1059.72693741
999000,999000,-3464.59322491,0.0135707707306,5.50703599353,1000,998,540.318,320.09,9.23055,-1632.79,22.459093823563308,0.0,1004,536.004,-2979.15290099,0.0135707707306,540.318,16.009447760879993,-1627.4,0.0,0.0,432.896,-1632.79,0.0135707707306,5.3190030618570745,-228.684498135,1000.0,-3464.59322491,1000,44598.743642043555,-3464.59322491
1000000,1000000,-3079.52684852,-0.164608781538,4.41747264047,1000,999,519.421,337.452,8.47549,-1656.55,25.769501559669152,0.0,1005,521.289,-3275.40347467,-0.164608781538,519.421,16.69415185507387,-1646.1,0.0,0.0,357.424,-1656.55,-0.164608781538,6.824700280325487,-228.684498135,1000.0,-3079.52684852,1000,44648.01591734961,-3079.52684852
1000000,1001000,-4256.41593054,0.390953896341,7.03557749834,1000,1000,441.479,170.572,8.20006,-1647.35,23.26984732504934,0.0,1006,441.293,-3185.02084796,0.390953896341,441.479,16.68172171409242,-1640.08,0.0,0.0,153.584,-1647.35,0.390953896341,5.50419475347735,-228.684498135,1000.0,-4256.41593054,1000,44693.53295490262,-4256.41593054
1000000,1002000,-3271.91989901,0.336269938698,5.42958741362,1000,1001,503.008,512.993,8.57989,-1596.34,26.939419091446325,0.0,1007,496.292,-3149.90523817,0.336269938698,503.008,16.754566776100546,-1612.18,0.0,0.0,483.236,-1596.34,0.336269938698,7.193413061788306,-228.684498135,1000.0,-3271.91989901,1000,44744.35165397567,-3271.91989901
1000000,1003000,-2984.72910298,-0.111616172485,4.45544308844,1000,1002,492.091,213.936,8.7096,-1655.1,23.703900863183662,0.0,1008,490.275,-3356.08847986,-0.111616172485,492.091,16.690773090114817,-1661.41,0.0,0.0,231.102,-1655.1,-0.111616172485,5.659153083804995,-228.684498135,1000.0,-2984.72910298,1000,44790.39944536844,-2984.72910298
1000000,1004000,-3156.27361037,-0.0905511524031,4.40985676126,1000,1003,465.259,258.64,8.00096,-1663.79,25.784349060617387,0.0,1009,463.454,-2901.78044618,-0.0905511524031,465.259,16.69437922211364,-1663.83,0.0,0.0,217.126,-1663.79,-0.0905511524031,6.6466223006136715,-228.684498135,1000.0,-3156.27361037,1000,44839.55988732958,-3156.27361037
1000000,1005000,-2934.97506626,0.0585303823602,3.27172359679,1000,1004,509.175,721.271,9.10185,-1609.82,23.83966503595002,0.0,1010,509.097,-3009.4369814,0.0585303823602,509.175,16.738286050967872,-1607.31,0.0,0.0,767.582,-1609.82,0.0585303823602,5.859105495736003,-228.684498135,1000.0,-2934.97506626,1000,44885.93668322568,-2934.97506626
1000000,1006000,-3112.64891502,0.0492486731911,3.26344049152,1000,1005,489.132,201.747,7.92906,-1652.01,26.751240083016455,0.0,1011,488.439,-4454.74952387,0.0492486731911,489.132,16.68726079305634,-1647.24,0.0,0.0,196.556,-1652.01,0.0492486731911,7.080742973368615,-228.684498135,1000.0,-3112.64891502,1000,44936.4424060788,-3112.64891502
1000000,1007000,-3876.25485419,0.274196744399,6.18902359395,1000,1006,517.132,998.958,9.15389,-1622.39,25.592403799062595,0.0,1012,512.235,-3436.10471002,0.274196744399,517.132,16.682373913936317,-1622.53,0.0,0.0,1078.16,-1622.39,0.274196744399,6.408538186689839,-228.684498135,1000.0,-3876.25485419,1000,44985.13392183953,-3876.25485419
1000000,1008000,-4072.59611489,0.0672528802294,7.03938045689,1000,1007,461.278,147.623,9.244,-1651.31,25.82248872378841,0.0,1013,459.329,-3721.08642078,0.0672528802294,461.278,16.69495324511081,-1656.95,0.0,0.0,148.901,-1651.31,0.0672528802294,6.686509265797213,-228.684498135,1000.0,-4072.59611489,1000,45034.330663633766,-4072.59611489
1000000,1009000,-2976.7824283,-0.163291409984,4.34756480268,1000,1008,486.466,297.359,7.99457,-1576.43,25.887961402302608,0.0,1014,488.05,-2912.36493051,-0.163291409984,486.466,16.69280157587491,-1576.84,0.0,0.0,382.77,-1576.43,-0.163291409984,6.556087050586939,-228.684498135,1000.0,-2976.7824283,1000,45083.46263864869,-2976.7824283
1000000,1010000,-3120.42150433,-0.12854612394,4.42157543369,1000,1009,482.249,345.272,8.7736,-1642.99,26.120119239669293,0.0,1015,479.661,-3162.45511784,-0.12854612394,482.249,16.69687094609253,-1641.27,0.0,0.0,359.857,-1642.99,-0.12854612394,6.853876964421943,-228.684498135,1000.0,-3120.42150433,1000,45133.10776402801,-3120.42150433
1000000,1011000,-3037.13144398,-0.0797205270504,4.40820874608,1000,1010,454.23,559.486,7.27601,-1690.02,26.613165135029703,0.0,1016,452.456,-885.95922209,-0.0797205270504,454.23,16.69001255906187,-1687.3,0.0,0.0,577.297,-1690.02,-0.0797205270504,6.834975058445707,-228.684498135,1000.0,-3037.13144398,1000,45183.25287676696,-3037.13144398
1000000,1012000,-4419.54882671,-0.120354148004,8.39454651264,1000,1011,476.039,253.202,9.23628,-1636.49,24.79059951636009,0.0,1017,471.717,-3723.42556962,-0.120354148004,476.039,16.700900725089014,-1637.73,0.0,0.0,198.466,-1636.49,-0.120354148004,6.191366414539516,-228.684498135,1000.0,-4419.54882671,1000,45230.929178775055,-4419.54882671
1000000,1013000,-3028.160461,-0.131628511115,4.39527165421,1000,1012,479.92,205.431,8.30002,-1555.67,26.233386896317825,0.0,1018,476.139,-4394.22880735,-0.131628511115,479.92,16.70357422484085,-1561.69,0.0,0.0,225.12,-1555.67,-0.131628511115,6.973323292098939,-228.684498135,1000.0,-3028.160461,1000,45280.821865417296,-3028.160461
1000000,1014000,-3106.45624128,-0.136770749214,4.40875764667,1000,1013,500.347,174.778,8.82436,-1648.49,24.826257045846432,0.0,1019,500.774,-3177.78185178,-0.136770749214,500.347,16.692497591022402,-1644.04,0.0,0.0,153.975,-1648.49,-0.136770749214,5.82529541477561,-228.684498135,1000.0,-3106.45624128,1000,45328.166943550576,-3106.45624128
1000000,1015000,-3006.08627803,-0.290646669608,3.64234373309,1000,1014,516.687,287.207,9.08263,-1598.92,26.58207866945304,0.0,1020,517.525,-3083.65843325,-0.290646669608,516.687,16.70389034296386,-1594.29,0.0,0.0,299.556,-1598.92,-0.290646669608,7.144956280710176,-228.684498135,1000.0,-3006.08627803,1000,45378.59398456151,-3006.08627803
1000000,1016000,-3079.03326595,-0.129232097427,4.42587265723,1000,1015,481.379,194.119,8.27414,-1619.94,20.83080888679251,0.0,1021,478.876,-3535.35569561,-0.129232097427,481.379,16.71120365196839,-1616.89,0.0,0.0,173.852,-1619.94,-0.129232097427,4.831479002255946,-228.684498135,1000.0,-3079.03326595,1000,45420.93263979466,-3079.03326595
