episode-length-min,time-sample,log-sigs-max,MaxForwardProgress,time-eval,StdForwardProgress,total-samples,time-train,log-sigs-min,log-sigs-std,mean-qf-diff,log-pi-std,return-std,policy-mus-min,MinForwardProgress,AverageForwardProgress,episode-length-avg,vf-avg,epoch,max-path-return,last-path-return,log-pi-min,log-sigs-mean,episodes,qf1-std,episode-length-max,mean-sq-bellman-error2,mean-sq-bellman-error1,policy-mus-max,return-average,log-pi-max,qf1-avg,policy-mus-std,time-total,qf2-std,policy-mus-mean,log-pi-mean,episode-length-std,vf-std,pool-size,return-max,qf2-avg,return-min
1000,2.7230293191823876,0.35886,3.91112534102,16.68611952099309,0.0,11000,12.759260507213185,-0.911281,0.185099,5.28107,1.71773,0.0,-3.51274,3.91112534102,3.91112534102,1000.0,928.75,10,419.475376572,419.475376572,-12.0458,-0.371924,11,136.361,1000,60.0573,57.539,4.70946,355.346976528,-3.19237,910.384,1.41805,321.3108106576983,136.361,-0.00508315,-6.22674,0.0,132.485,11000,355.346976528,910.384,355.346976528
1000,2.7185621940734563,0.155717,8.00154917748,16.68290024099406,0.0,12000,12.479231106073712,-1.1355,0.210009,5.96215,1.74135,0.0,-3.01602,8.00154917748,8.00154917748,1000.0,1039.64,11,419.475376572,248.278708688,-12.5318,-0.399948,12,113.768,1000,77.0385,69.4795,3.42442,247.219250438,-2.92441,1008.05,1.50023,353.45394757782924,113.768,0.497371,-6.11647,0.0,105.688,12000,247.219250438,1008.05,247.219250438
1000,2.647481196996523,0.354582,-0.413620248492,16.947718875991995,0.0,13000,12.51357099066081,-0.914762,0.195145,6.4242,1.73326,0.0,-5.4691,-0.413620248492,-0.413620248492,1000.0,1132.54,12,419.475376572,130.22085469,-12.9468,-0.399861,13,82.961,1000,107.005,113.195,3.32798,103.234160328,-3.1646,1107.76,1.54773,385.2900294285064,82.961,0.417137,-6.04088,0.0,78.7917,13000,103.234160328,1107.76,103.234160328
1000,2.841233961225953,0.111155,-0.0559540667266,16.688004965006257,0.0,14000,12.94733555210405,-0.952581,0.168466,5.7263,1.95898,0.0,-5.29161,-0.0559540667266,-0.0559540667266,1000.0,1204.07,13,419.475376572,75.3738258166,-14.0839,-0.430702,14,76.312,1000,57.4402,63.0889,3.35465,-214.962835146,-2.79912,1187.56,1.53489,417.7882425518328,76.312,-0.353796,-6.09852,0.0,74.3077,14000,-214.962835146,1187.56,-214.962835146
1000,2.58834053883038,0.216058,-0.0311587255032,16.696552616005647,0.0,15000,12.249479313686606,-1.02926,0.138068,5.35534,1.92875,0.0,-3.13436,-0.0311587255032,-0.0311587255032,1000.0,1204.86,14,419.475376572,61.0954471912,-16.872,-0.39816,15,53.133,1000,43.0047,45.7673,4.2823,-177.975164882,-3.09562,1197.54,1.35548,449.3104723813449,53.133,0.16352,-6.22989,0.0,53.8797,15000,-177.975164882,1197.54,-177.975164882
1000,2.4530053674970986,0.0721026,-0.233931315827,16.707244431992876,0.0,16000,12.153072735876776,-0.755776,0.126188,4.60524,1.699,0.0,-2.62369,-0.233931315827,-0.233931315827,1000.0,1197.3,15,419.475376572,32.976697186,-12.1192,-0.354013,16,52.9605,1000,31.3092,36.1534,3.40028,202.25761364,-3.71129,1188.79,1.11707,480.6210194437299,52.9605,0.348565,-6.51686,0.0,53.4551,16000,202.25761364,1188.79,202.25761364
1000,1.6954300231445814,0.139235,2.7238599223,16.6933410979982,0.0,17000,11.050635287174373,-0.74767,0.112687,4.67556,1.64882,0.0,-3.39964,2.7238599223,2.7238599223,1000.0,1164.62,16,419.475376572,327.868692129,-13.071,-0.295305,17,52.9026,1000,32.0104,30.6804,2.31133,348.048378628,-3.74431,1163.61,0.994613,510.0472005900665,52.9026,0.095718,-6.57606,0.0,54.0209,17000,348.048378628,1163.61,348.048378628
1000,2.374899383969023,0.0490695,-0.794794988582,16.684913176010014,0.0,18000,11.779483442180208,-0.734008,0.113755,4.60339,1.7377,0.0,-3.0976,-0.794794988582,-0.794794988582,1000.0,1133.34,17,419.475376572,308.766671384,-15.2833,-0.300215,18,41.7036,1000,30.9574,31.9846,2.41712,57.493369124,-3.8466,1128.44,0.970428,540.8907751942315,41.7036,0.0645738,-6.65734,0.0,43.2665,18000,57.493369124,1128.44,57.493369124
1000,2.2703973117022542,0.140261,0.0471916116825,16.687845520005794,0.0,19000,11.689430507962243,-0.884822,0.11374,3.82156,1.79024,0.0,-2.828,0.0471916116825,0.0471916116825,1000.0,1114.07,18,419.475376572,93.2600745395,-13.5779,-0.299837,19,46.119,1000,22.8229,21.0312,2.62609,-73.8644049824,-3.77788,1107.68,0.971208,571.5384898388729,46.119,-0.0978807,-6.70789,0.0,45.9952,19000,-73.8644049824,1107.68,-73.8644049824
1000,1.2488931949046673,0.0194657,-0.103682869234,16.6792731389869,0.0,20000,9.03580660111038,-0.696284,0.102706,4.05965,1.72497,0.0,-2.53752,-0.103682869234,-0.103682869234,1000.0,1083.52,19,419.475376572,137.141758879,-12.0981,-0.287799,20,43.3756,1000,17.3972,17.9923,2.52634,-39.3506484176,-3.70722,1079.24,0.885192,598.4890251328761,43.3756,-0.0761435,-6.89829,0.0,42.9014,20000,-39.3506484176,1079.24,-39.3506484176
1000,2.2324342136998894,0.0324064,1.52203405802,16.668409896010417,0.0,21000,10.975847753943526,-0.624119,0.0992783,3.35382,1.84698,0.0,-2.7932,1.52203405802,1.52203405802,1000.0,1050.04,20,419.475376572,225.129619365,-15.7165,-0.2708,21,31.808,1000,15.605,18.1842,2.95104,411.41961356,-3.18657,1046.39,0.787795,628.3799710605235,31.808,-0.112294,-6.86909,0.0,31.1608,21000,411.41961356,1046.39,411.41961356
1000,2.114999639990856,0.00448033,3.52835621146,16.685588128995732,0.0,22000,10.633140457925037,-0.640079,0.0876581,3.55234,1.80836,0.0,-2.30768,3.52835621146,3.52835621146,1000.0,1019.97,21,419.475376572,275.123938284,-14.5363,-0.284172,22,33.1917,1000,10.8149,11.6758,2.32478,428.339814672,-3.55613,1017.62,0.731313,657.79621238244,33.1917,-0.173242,-6.75084,0.0,33.2606,22000,428.339814672,1017.62,428.339814672
1000,1.5806978198961588,0.0781207,2.9160584383,16.666554006005754,0.0,23000,9.41653455159394,-0.679593,0.0861353,3.36633,1.77953,0.0,-2.5847,2.9160584383,2.9160584383,1000.0,988.719,22,419.475376572,305.226388347,-14.5108,-0.244647,23,35.2935,1000,11.9787,9.71433,2.44054,485.609662779,-3.73064,984.816,0.657583,685.4739195299189,35.2935,-0.0155894,-7.07335,0.0,34.8697,23000,485.609662779,984.816,485.609662779
1000,1.9502866452385206,-0.00680982,1.92009926928,16.682274935999885,0.0,24000,10.516997981307213,-0.591969,0.0817648,2.69974,1.60389,0.0,-2.31137,1.92009926928,1.92009926928,1000.0,958.386,23,419.475376572,254.192949305,-12.867,-0.253064,24,30.359,1000,8.77199,8.31097,3.29019,425.066238621,-4.13467,956.095,0.65858,714.6125830904493,30.359,-0.0585937,-6.90294,0.0,30.6893,24000,425.066238621,956.095,425.066238621
1000,2.098181352848769,0.0420198,1.43519560495,16.672435904998565,0.0,25000,10.800307304903981,-0.568213,0.073936,2.65751,1.83175,0.0,-2.23514,1.43519560495,1.43519560495,1000.0,930.589,24,419.475376572,235.721091327,-14.2342,-0.233243,25,28.9111,1000,7.39769,8.01536,2.25726,490.323676458,-4.3294,928.404,0.563389,744.1809777521848,28.9111,-0.0702147,-7.16708,0.0,29.6043,25000,490.323676458,928.404,490.323676458
1000,2.2584852389263688,0.046002,-0.647947909686,16.66767014900688,0.0,26000,11.198351233877474,-0.663225,0.0780191,2.54465,2.00835,0.0,-2.02198,-0.647947909686,-0.647947909686,1000.0,904.655,25,419.475376572,285.74542686,-19.7462,-0.231266,26,35.5021,1000,9.315,10.388,2.33647,255.513525113,-4.44612,901.568,0.566577,774.3309198329807,35.5021,-0.0772602,-7.18438,0.0,35.5806,26000,255.513525113,901.568,255.513525113
1000,1.5043764502333943,0.00762133,-0.459520983742,16.69576720999612,0.0,27000,9.569867854981567,-0.494657,0.0663485,2.38538,1.85205,0.0,-1.93444,-0.459520983742,-0.459520983742,1000.0,878.0,26,419.475376572,256.294086333,-15.4773,-0.227886,27,21.4378,1000,5.98347,5.64458,2.01417,405.872355831,-4.29553,876.088,0.495651,802.0918040932011,21.4378,-0.175941,-7.27885,0.0,21.6435,27000,405.872355831,876.088,405.872355831
1000,2.3509531381569104,-0.00188745,-0.233206408696,16.69178063099389,0.0,28000,11.540364172993577,-0.585966,0.0677824,2.19219,1.74205,0.0,-1.86847,-0.233206408696,-0.233206408696,1000.0,851.836,27,419.475376572,225.401503243,-15.4998,-0.224191,28,28.2943,1000,5.19861,5.11248,2.17432,354.104806144,-4.34765,850.028,0.504898,832.6630017503485,28.2943,-0.107849,-7.27047,0.0,28.7542,28000,354.104806144,850.028,354.104806144
