qf1-avg,vf-avg,qf1-std,time-total,StdProgress,qf2-avg,log-pi-std,episode-length-min,episode-length-avg,episode-length-max,time-eval,log-sigs-std,log-pi-mean,total-samples,return-std,mean-sq-bellman-error1,policy-mus-min,max-path-return,log-sigs-max,episodes,mean-qf-diff,time-train,last-path-return,log-sigs-min,epoch,log-sigs-mean,return-average,MinProgress,pool-size,policy-mus-mean,time-sample,log-pi-max,policy-mus-std,log-pi-min,AverageProgress,MaxProgress,mean-sq-bellman-error2,policy-mus-max,return-max,episode-length-std,return-min,vf-std,qf2-std
427.038,440.853,123.37,233.94512981147273,0.0,427.038,2.30335,1000,1000.0,1000,16.678418453026097,0.099401,-7.88376,11000,0.0,54.0363,-2.79106,263.2702368392323,-0.0911166,19,6.29436,9.368104885274079,139.51119209300853,-0.836669,10,-0.466401,246.327208571,4.39765944857,11000,0.0990996,1.8010803190409206,-4.00546,1.1509,-16.3309,4.39765944857,4.39765944857,45.3839,3.36512,246.327208571,0.0,246.327208571,125.62,123.37
437.004,450.998,138.626,262.9951685433043,0.0,437.004,2.01153,1000,1000.0,1000,16.685531296010595,0.103797,-7.32415,12000,0.0,143.564,-3.20622,263.2702368392323,-0.157479,20,7.17295,10.496813509904314,164.8157147749194,-0.882611,11,-0.493038,121.008512011,4.01514351146,12000,0.37354,1.8710282708634622,-3.06016,1.08106,-13.6646,4.01514351146,4.01514351146,128.15,3.71515,121.008512011,0.0,121.008512011,142.019,138.626
482.865,488.102,146.334,293.269066993671,0.0,482.865,2.07808,1000,1000.0,1000,16.68446270795539,0.110566,-7.11691,13000,0.0,44.4595,-3.03855,263.2702368392323,-0.171886,21,7.48769,11.401673579995986,246.09116426037582,-0.990246,12,-0.532217,108.035766428,5.5895502992,13000,0.270636,2.1970012304373085,-1.99861,1.02977,-13.4398,5.5895502992,5.5895502992,36.636,3.48197,108.035766428,0.0,108.035766428,145.977,146.334
484.235,489.234,146.529,323.55110390653135,0.0,484.235,1.86649,1000,1000.0,1000,16.67514711403055,0.119301,-6.70258,14000,0.0,54.3057,-3.36566,263.2702368392323,-0.20027,22,7.35466,11.611759243358392,243.01688055413564,-1.04921,13,-0.539767,376.219268991,9.63732629107,14000,0.12244,2.001507992448751,-1.65294,1.02587,-13.1818,9.63732629107,9.63732629107,49.0797,3.33109,376.219268991,0.0,376.219268991,147.77,146.529
493.497,498.766,138.642,352.1205328445649,0.0,493.497,2.2256,1000,1000.0,1000,16.67339254700346,0.118594,-6.90885,15000,0.0,59.7517,-3.39777,263.2702368392323,-0.166878,27,7.03719,10.190931875084061,84.43233415142005,-1.14615,14,-0.5531,256.457786446,4.4394942629,15000,-0.0150173,1.6774645369732752,-2.01095,0.943987,-20.2371,4.4394942629,4.4394942629,64.8791,2.93416,256.457786446,0.0,256.457786446,135.963,138.642
498.994,507.558,124.413,382.15329146489967,0.0,498.994,2.01597,1000,1000.0,1000,16.748636699980125,0.115242,-7.03199,16000,0.0,55.3825,-2.9883,512.9048564910621,-0.142847,28,8.04108,11.202767075563315,512.9048564910621,-1.10578,15,-0.54524,71.4738727335,0.82505094673,16000,-0.17992,2.106532995821908,-2.86987,0.961013,-13.9578,0.82505094673,0.82505094673,61.9932,3.59618,71.4738727335,0.0,71.4738727335,124.44,124.413
487.847,493.078,137.023,413.13274958432885,0.0,487.847,2.10016,1000,1000.0,1000,16.6807871570345,0.111407,-6.87165,17000,0.0,57.7305,-2.80497,512.9048564910621,-0.255941,29,8.37994,12.0511931872461,276.400203572319,-1.03181,16,-0.559234,198.667000035,3.53341780719,17000,-0.059901,2.2520715910359286,-2.69815,0.960536,-13.6783,3.53341780719,3.53341780719,61.2868,3.3493,198.667000035,0.0,198.667000035,135.387,137.023
468.595,472.533,162.364,433.1538296652143,0.0,468.595,2.13199,357,357.0,357,16.672299799043685,0.120728,-7.0947,18000,0.0,51.4469,-3.44595,512.9048564910621,-0.21675,30,9.10094,11.834678696934134,432.4394301776972,-1.06277,17,-0.551056,258.22851899,5.1297527742,18000,-0.109401,2.2241794208530337,-2.51722,0.936818,-14.0292,5.1297527742,5.1297527742,54.2375,2.84162,258.22851899,0.0,258.22851899,164.169,162.364
470.822,476.539,142.497,445.760273671709,0.0,470.822,1.99866,104,104.0,104,5.960916479001753,0.102562,-6.73676,19000,0.0,42.8002,-3.58737,512.9048564910621,-0.263902,32,7.87291,9.22132508829236,59.29233698425011,-0.992822,18,-0.564088,131.281850865,2.52934254809,19000,-0.104134,1.6514346901676618,-2.82145,0.960329,-13.8664,2.52934254809,2.52934254809,47.8554,3.22832,131.281850865,0.0,131.281850865,142.129,142.497
433.35,434.439,175.076,468.11296178755583,0.0,433.35,2.10014,680,680.0,680,1.7334723779931664,0.12125,-6.882,20000,0.0,45.4777,-2.77922,512.9048564910621,-0.24916,33,6.82134,9.334906434523873,158.23473790118823,-1.03357,19,-0.557707,349.137952755,6.49548888386,20000,-0.0105852,1.6845313882804476,-2.43024,0.966642,-15.2735,6.49548888386,6.49548888386,37.7063,2.84981,349.137952755,0.0,349.137952755,175.253,175.076
381.246,380.621,209.267,485.13507646729704,0.0,381.246,1.97307,281,281.0,281,11.332795277994592,0.116694,-6.93088,21000,0.0,44.9503,-2.8512,512.9048564910621,-0.279069,34,6.731,10.626901823154185,190.08406290559762,-1.07649,20,-0.546106,69.1275170078,1.27815543281,21000,0.00199995,1.705716551397927,-2.62722,0.934726,-13.7644,1.27815543281,1.27815543281,40.9143,2.96492,69.1275170078,0.0,69.1275170078,213.327,209.267
421.29,421.289,188.765,512.0869824332185,0.0,421.29,2.17174,1000,1000.0,1000,4.689984554017428,0.113912,-7.07556,22000,0.0,35.5246,-2.71188,512.9048564910621,-0.255385,35,6.84035,8.60422114317771,214.16321770864812,-0.981351,21,-0.551071,111.155254525,2.3539202254,22000,0.0127735,1.686040679749567,-3.19582,0.924714,-16.1117,2.3539202254,2.3539202254,32.0702,2.56127,111.155254525,0.0,111.155254525,191.1,188.765
361.445,362.668,218.363,538.0940496159601,0.0,361.445,2.37594,1000,1000.0,1000,16.663923721993342,0.123679,-6.73804,23000,0.0,43.6643,-2.61854,512.9048564910621,-0.214456,36,7.62174,7.799402232398279,197.66671771208394,-1.04942,22,-0.58147,326.685707613,5.86185346357,23000,0.00745116,1.5420092003187165,-2.2802,0.868449,-14.7809,5.86185346357,5.86185346357,52.1068,2.97689,326.685707613,0.0,326.685707613,219.639,218.363
348.386,353.328,217.417,566.2783757709549,0.0,348.386,2.12763,1000,1000.0,1000,16.668532478972338,0.125678,-7.08947,24000,0.0,56.8681,-3.01668,512.9048564910621,-0.169873,37,6.87143,9.62712938938057,371.5254592256128,-1.11353,23,-0.553166,275.465871278,7.71975731672,24000,-0.00435327,1.865153863618616,-2.58953,0.870406,-14.8616,7.71975731672,7.71975731672,55.1398,2.66345,275.465871278,0.0,275.465871278,217.251,217.417
