log-sigs-min,epoch,MinProgress,mean-sq-bellman-error1,time-total,return-average,qf1-std,episode-length-std,policy-mus-min,policy-mus-std,vf-std,log-pi-max,StdProgress,vf-avg,mean-sq-bellman-error2,episode-length-max,return-max,MaxProgress,total-samples,log-pi-mean,qf1-avg,time-eval,mean-qf-diff,max-path-return,policy-mus-max,pool-size,log-sigs-max,time-train,episodes,return-min,last-path-return,log-sigs-mean,return-std,log-pi-std,AverageProgress,qf2-avg,episode-length-min,time-sample,qf2-std,log-sigs-std,policy-mus-mean,episode-length-avg,log-pi-min
-0.9968,10,2.04580374585,39.5494,255.34574643173255,122.435244991,69.1603,0.0,-3.02742,1.11972,68.8678,-3.61044,0.0,350.568,36.9347,1000,122.435244991,2.04580374585,11000,-7.84782,348.262,16.66673696198268,5.69728,302.50700163781244,3.1976,11000,-0.112855,10.012089802243281,21,122.435244991,302.50700163781244,-0.470894,0.0,2.28619,2.04580374585,348.262,1000,1.6449511155369692,69.1603,0.102835,0.00452689,1000.0,-16.006
-0.830926,11,2.92879868195,63.0617,284.76452456822153,173.817707339,75.6081,0.0,-2.93248,1.07994,74.8583,-3.77813,0.0,380.165,57.5307,1000,173.817707339,2.92879868195,12000,-7.53216,376.679,16.667592492012773,7.25995,302.50700163781244,2.94915,12000,-0.12027,10.961390627897345,22,173.817707339,68.43149601666283,-0.467036,0.0,2.00787,2.92879868195,376.679,1000,1.7815121946041472,75.6081,0.0993335,0.0178646,1000.0,-14.3206
-0.94679,12,2.4800885612,159.324,314.27910152007826,147.682614621,75.7455,0.0,-2.94799,1.0279,74.8128,-3.40198,0.0,407.948,175.166,1000,147.682614621,2.4800885612,13000,-7.46366,401.596,16.677073339000344,7.17211,477.5975629871569,3.30127,13000,-0.189448,10.751232316542882,24,147.682614621,143.5962100773957,-0.488873,0.0,2.01692,2.4800885612,401.596,1000,2.091065747255925,75.7455,0.110987,0.105878,1000.0,-13.9839
-0.96837,13,1.65120744282,58.1403,341.96983630856266,39.4191292524,102.939,0.0,-3.12002,1.07631,98.9278,-3.2884,0.0,388.71,60.388,1000,39.4191292524,1.65120744282,14000,-6.97886,379.119,16.67252304899739,6.5119,477.5975629871569,2.99907,14000,-0.168844,9.236433488607872,27,39.4191292524,62.910934413434546,-0.505232,0.0,1.76508,1.65120744282,379.119,1000,1.783872990985401,102.939,0.103461,0.062786,1000.0,-13.0311
-0.958848,14,5.35020353006,57.02,364.00618271832354,294.34060008,104.34,0.0,-3.02789,1.05847,104.025,-3.0639,0.0,388.538,57.1843,754,294.34060008,5.35020353006,15000,-7.04054,382.892,16.681651080958545,8.5489,477.5975629871569,3.88174,15000,-0.17488,7.891226858599111,28,294.34060008,90.69274825776407,-0.536639,0.0,2.20078,5.35020353006,382.892,754,1.5692962971515954,104.34,0.104251,0.0274486,754.0,-20.9674
-0.961454,15,2.19351164142,57.5479,395.0709998756647,139.650713288,108.38,0.0,-3.43576,1.01963,107.966,-3.28362,0.0,401.74,64.6285,1000,139.650713288,2.19351164142,16000,-7.06041,392.449,12.586132563999854,7.97972,477.5975629871569,2.99097,16000,-0.173473,12.021594532125164,30,139.650713288,82.95050795530486,-0.541687,0.0,1.87975,2.19351164142,392.449,1000,2.3476122041465715,108.38,0.105479,0.0341494,1000.0,-12.6494
-0.937607,16,5.43966004945,56.8588,426.5921507728053,302.153502694,137.544,0.0,-3.0218,0.996523,138.341,-3.29971,0.0,379.594,59.1223,1000,302.153502694,5.43966004945,17000,-6.98796,377.521,16.672914340044372,7.3492,477.5975629871569,2.95688,17000,-0.229566,12.31674105860293,32,302.153502694,41.24165450714443,-0.544695,0.0,1.98989,5.43966004945,377.521,1000,2.526842931576539,137.544,0.0978254,0.0681113,1000.0,-13.374
-0.884497,17,11.5390907056,53.6917,450.5617821100168,598.234162775,131.641,0.0,-3.2003,0.999131,133.471,-2.94328,0.0,388.332,66.7436,818,598.234162775,11.5390907056,18000,-7.0838,388.907,16.68382047500927,8.18326,477.5975629871569,3.16256,18000,-0.277267,8.730296682973858,34,598.234162775,83.22736306225944,-0.552418,0.0,2.02131,11.5390907056,388.907,818,1.6028972353087738,131.641,0.0995378,0.0920647,818.0,-13.536
-0.961588,18,6.11213092102,65.2745,475.1533697905252,323.761388999,126.555,0.0,-3.40474,1.01146,126.415,-2.42172,0.0,376.056,67.3083,894,323.761388999,6.11213092102,19000,-6.71738,377.542,13.640499446017202,9.16838,477.5975629871569,2.95288,19000,-0.247587,8.104597322817426,35,323.761388999,383.53582305704765,-0.56651,0.0,2.05949,6.11213092102,377.542,894,1.5834751997608691,126.555,0.107195,-0.0461536,894.0,-14.5588
-0.978677,19,5.69264004658,64.0842,505.56212465069257,276.003270945,128.671,0.0,-3.26686,0.985128,128.924,-3.41302,0.0,377.037,68.7273,1000,276.003270945,5.69264004658,20000,-7.02323,375.025,14.896641838015057,8.60174,560.7697165210122,2.86709,20000,-0.246939,11.51204667147249,37,276.003270945,119.90733715336265,-0.540054,0.0,2.03436,5.69264004658,375.025,1000,2.217600130708888,128.671,0.0997105,0.0146353,1000.0,-14.5536
